CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
ACA001A,ACA001,ACA,Austin Cary FL,1,PIPA,C,LIVE,39.6,1,2,A,,,,,,,,,,,
ACA001B,ACA001,ACA,Austin Cary FL,1,PIPA,C,LIVE,39.6,1,2,B,,,,,,,,,,,
ACA004A,ACA004,ACA,Austin Cary FL,4,PIPA,C,LIVE,30.6,1,2,A,,,,,,,,,,,
ACA004B,ACA004,ACA,Austin Cary FL,4,PIPA,C,LIVE,30.6,1,2,B,,,,,,,,,,,
ACA005A,ACA005,ACA,Austin Cary FL,5,PIPA,C,LIVE,22.5,1,2,A,,,,,,,,,,,
ACA005B,ACA005,ACA,Austin Cary FL,5,PIPA,C,LIVE,22.5,1,2,B,,,,,,,,,,,
ACA006A,ACA006,ACA,Austin Cary FL,6,PIPA,C,LIVE,29.9,1,2,A,,,,,,,,,,,
ACA006B,ACA006,ACA,Austin Cary FL,6,PIPA,C,LIVE,29.9,1,2,B,,,,,,,,,,,
ACA007A,ACA007,ACA,Austin Cary FL,7,PIPA,C,LIVE,35.5,1,2,A,,,,,,,,,,,
ACA007B,ACA007,ACA,Austin Cary FL,7,PIPA,C,LIVE,35.5,1,2,B,,,,,,,,,,,
ACA008A,ACA008,ACA,Austin Cary FL,8,PIPA,C,LIVE,33.9,1,2,A,,,,,,,,,,,
ACA008B,ACA008,ACA,Austin Cary FL,8,PIPA,C,LIVE,33.9,1,2,B,,,,,,,,,,,
ACA009A,ACA009,ACA,Austin Cary FL,9,PIPA,C,LIVE,31.7,1,2,A,,,,,,,,,,,
ACA009B,ACA009,ACA,Austin Cary FL,9,PIPA,C,LIVE,31.7,1,2,B,,,,,,,,,,,
ACA010A,ACA010,ACA,Austin Cary FL,10,PIPA,C,LIVE,18.6,1,2,A,,,,,,,,,,,
ACA010B,ACA010,ACA,Austin Cary FL,10,PIPA,C,LIVE,18.6,1,2,B,,,,,,,,,,,
ACA011A,ACA011,ACA,Austin Cary FL,11,PIPA,C,LIVE,26,1,2,A,,,,,,,,,,,
ACA011B,ACA011,ACA,Austin Cary FL,11,PIPA,C,LIVE,26,1,2,B,,,,,,,,,,,
ACA012A,ACA012,ACA,Austin Cary FL,12,PIPA,C,LIVE,35.7,1,2,A,,,,,,,,,,,
ACA012B,ACA012,ACA,Austin Cary FL,12,PIPA,C,LIVE,35.7,1,2,B,,,,,,,,,,,
ACA013A,ACA013,ACA,Austin Cary FL,13,PIPA,C,LIVE,22.8,1,2,A,,,,,,,,,,,
ACA013B,ACA013,ACA,Austin Cary FL,13,PIPA,C,LIVE,22.8,1,2,B,,,,,,,,,,,
ACA014A,ACA014,ACA,Austin Cary FL,14,PIPA,C,LIVE,34.8,1,2,A,,,,,,,,,,,
ACA014B,ACA014,ACA,Austin Cary FL,14,PIPA,C,LIVE,34.8,1,2,B,,,,,,,,,,,
ACA015A,ACA015,ACA,Austin Cary FL,15,PIPA,C,LIVE,17.1,1,2,A,,,,,,,,,,,
ACA015B,ACA015,ACA,Austin Cary FL,15,PIPA,C,LIVE,17.1,1,2,B,,,,,,,,,,,
ACA016A,ACA016,ACA,Austin Cary FL,16,PIPA,C,LIVE,36.2,1,2,A,,,,,,,,,,,
ACA016B,ACA016,ACA,Austin Cary FL,16,PIPA,C,LIVE,36.2,1,2,B,,,,,,,,,,,
ACA017A,ACA017,ACA,Austin Cary FL,17,PIPA,C,LIVE,42.2,1,2,A,,,,,,,,,,,
ACA017B,ACA017,ACA,Austin Cary FL,17,PIPA,C,LIVE,42.2,1,2,B,,,,,,,,,,,
ACA018A,ACA018,ACA,Austin Cary FL,18,PIPA,C,LIVE,27.2,1,2,A,,,,,,,,,,,
ACA018B,ACA018,ACA,Austin Cary FL,18,PIPA,C,LIVE,27.2,1,2,B,,,,,,,,,,,
ACA019A,ACA019,ACA,Austin Cary FL,19,PIPA,C,LIVE,26.7,1,2,A,,,,,,,,,,,
ACA019B,ACA019,ACA,Austin Cary FL,19,PIPA,C,LIVE,26.7,1,2,B,,,,,,,,,,,
ACA020A,ACA020,ACA,Austin Cary FL,20,PIPA,C,LIVE,23.5,1,2,A,,,,,,,,,,,
ACA020B,ACA020,ACA,Austin Cary FL,20,PIPA,C,LIVE,23.5,1,2,B,,,,,,,,,,,
ACA021A,ACA021,ACA,Austin Cary FL,21,PIPA,C,LIVE,42.9,1,2,A,,,,,,,,,,,
ACA021B,ACA021,ACA,Austin Cary FL,21,PIPA,C,LIVE,42.9,1,2,B,,,,,,,,,,,
ACA023A,ACA023,ACA,Austin Cary FL,23,PIPA,C,LIVE,31.8,1,2,A,,,,,,,,,,,
ACA023B,ACA023,ACA,Austin Cary FL,23,PIPA,C,LIVE,31.8,1,2,B,,,,,,,,,,,
ACA024A,ACA024,ACA,Austin Cary FL,24,PIPA,C,LIVE,38,1,2,A,,,,,,,,,,,
ACA024B,ACA024,ACA,Austin Cary FL,24,PIPA,C,LIVE,38,1,2,B,,,,,,,,,,,
ACA025A,ACA025,ACA,Austin Cary FL,25,PIPA,C,LIVE,35,1,2,A,,,,,,,,,,,
ACA025B,ACA025,ACA,Austin Cary FL,25,PIPA,C,LIVE,35,1,2,B,,,,,,,,,,,
ACA026A,ACA026,ACA,Austin Cary FL,26,PIPA,C,LIVE,22.8,1,2,A,,,,,,,,,,,
ACA026B,ACA026,ACA,Austin Cary FL,26,PIPA,C,LIVE,22.8,1,2,B,,,,,,,,,,,
ACA027A,ACA027,ACA,Austin Cary FL,27,PIPA,C,LIVE,34.8,1,2,A,,,,,,,,,,,
ACA027B,ACA027,ACA,Austin Cary FL,27,PIPA,C,LIVE,34.8,1,2,B,,,,,,,,,,,
ACA028A,ACA028,ACA,Austin Cary FL,28,PIPA,C,LIVE,35.6,1,2,A,,,,,,,,,,,
ACA028B,ACA028,ACA,Austin Cary FL,28,PIPA,C,LIVE,35.6,1,2,B,,,,,,,,,,,
ACA029A,ACA029,ACA,Austin Cary FL,29,PIPA,C,LIVE,37.2,1,2,A,,,,,,,,,,,
ACA029B,ACA029,ACA,Austin Cary FL,29,PIPA,C,LIVE,37.2,1,2,B,,,,,,,,,,,
ACA030A,ACA030,ACA,Austin Cary FL,30,PIPA,C,LIVE,22.2,1,2,A,,,,,,,,,,,
ACA030B,ACA030,ACA,Austin Cary FL,30,PIPA,C,LIVE,22.2,1,2,B,,,,,,,,,,,
ACA031A,ACA031,ACA,Austin Cary FL,31,PIPA,C,LIVE,29.5,1,2,A,,,,,,,,,,,
ACA031B,ACA031,ACA,Austin Cary FL,31,PIPA,C,LIVE,29.5,1,2,B,,,,,,,,,,,
ACA032A,ACA032,ACA,Austin Cary FL,32,PIPA,C,LIVE,21.2,1,2,A,,,,,,,,,,,
ACA032B,ACA032,ACA,Austin Cary FL,32,PIPA,C,LIVE,21.2,1,2,B,,,,,,,,,,,
ACB001A,ACB001,ACB,Austin Cary FL,1,PIPA,*,DEAD,26.8,1,2,A,,,,,,,,,,,
ACB001B,ACB001,ACB,Austin Cary FL,1,PIPA,*,DEAD,26.8,1,2,B,,,,,,,,,,,
ACB002A,ACB002,ACB,Austin Cary FL,2,PIPA,C,LIVE,28.5,1,2,A,,,,,,,,,,,
ACB002B,ACB002,ACB,Austin Cary FL,2,PIPA,C,LIVE,28.5,1,2,B,,,,,,,,,,,
ACB003A,ACB003,ACB,Austin Cary FL,3,PIPA,C,LIVE,33.2,1,2,A,,,,,,,,,,,
ACB003B,ACB003,ACB,Austin Cary FL,3,PIPA,C,LIVE,33.2,1,2,B,,,,,,,,,,,
ACB004A,ACB004,ACB,Austin Cary FL,4,PIPA,C,LIVE,30.5,1,2,A,,,,,,,,,,,
ACB004B,ACB004,ACB,Austin Cary FL,4,PIPA,C,LIVE,30.5,1,2,B,,,,,,,,,,,
ACB005A,ACB005,ACB,Austin Cary FL,5,PIPA,C,LIVE,33.5,1,2,A,,,,,,,,,,,
ACB005B,ACB005,ACB,Austin Cary FL,5,PIPA,C,LIVE,33.5,1,2,B,,,,,,,,,,,
ACB006A,ACB006,ACB,Austin Cary FL,6,PIPA,C,LIVE,22.9,1,2,A,,,,,,,,,,,
ACB006B,ACB006,ACB,Austin Cary FL,6,PIPA,C,LIVE,22.9,1,2,B,,,,,,,,,,,
ACB007A,ACB007,ACB,Austin Cary FL,7,PIPA,C,LIVE,33.3,1,2,A,,,,,,,,,,,
ACB007B,ACB007,ACB,Austin Cary FL,7,PIPA,C,LIVE,33.3,1,2,B,,,,,,,,,,,
ACB008A,ACB008,ACB,Austin Cary FL,8,PIPA,I,LIVE,10,1,2,A,,,,,,,,,,,
ACB008B,ACB008,ACB,Austin Cary FL,8,PIPA,I,LIVE,10,1,2,B,,,,,,,,,,,
ACB009A,ACB009,ACB,Austin Cary FL,9,PIPA,C,LIVE,34.3,1,2,A,,,,,,,,,,,
ACB009B,ACB009,ACB,Austin Cary FL,9,PIPA,C,LIVE,34.3,1,2,B,,,,,,,,,,,
ACB010A,ACB010,ACB,Austin Cary FL,10,PIPA,C,LIVE,27.2,1,2,A,,,,,,,,,,,
ACB010B,ACB010,ACB,Austin Cary FL,10,PIPA,C,LIVE,27.2,1,2,B,,,,,,,,,,,
ACB011A,ACB011,ACB,Austin Cary FL,11,PIPA,C,LIVE,29.9,1,2,A,,,,,,,,,,,
ACB011B,ACB011,ACB,Austin Cary FL,11,PIPA,C,LIVE,29.9,1,2,B,,,,,,,,,,,
ACB012A,ACB012,ACB,Austin Cary FL,12,PIPA,C,LIVE,24.4,1,2,A,,,,,,,,,,,
ACB012B,ACB012,ACB,Austin Cary FL,12,PIPA,C,LIVE,24.4,1,2,B,,,,,,,,,,,
ACB013A,ACB013,ACB,Austin Cary FL,13,PIPA,C,LIVE,29.6,1,2,A,,,,,,,,,,,
ACB013B,ACB013,ACB,Austin Cary FL,13,PIPA,C,LIVE,29.6,1,2,B,,,,,,,,,,,
ACB014A,ACB014,ACB,Austin Cary FL,14,PIPA,C,LIVE,28.9,1,2,A,,,,,,,,,,,
ACB014B,ACB014,ACB,Austin Cary FL,14,PIPA,C,LIVE,28.9,1,2,B,,,,,,,,,,,
ACB015A,ACB015,ACB,Austin Cary FL,15,PIPA,C,LIVE,28.4,1,2,A,,,,,,,,,,,
ACB015B,ACB015,ACB,Austin Cary FL,15,PIPA,C,LIVE,28.4,1,2,B,,,,,,,,,,,
ACB016A,ACB016,ACB,Austin Cary FL,16,PIPA,C,LIVE,31.4,1,2,A,,,,,,,,,,,
ACB016B,ACB016,ACB,Austin Cary FL,16,PIPA,C,LIVE,31.4,1,2,B,,,,,,,,,,,
ACB017A,ACB017,ACB,Austin Cary FL,17,PIPA,C,LIVE,26.7,1,2,A,,,,,,,,,,,
ACB017B,ACB017,ACB,Austin Cary FL,17,PIPA,C,LIVE,26.7,1,2,B,,,,,,,,,,,
