"","MMA","MMB","MMC"
"2014",0.411712152396746,0.425514956096137,0.322410918239253
"2013",0.455523165622093,0.41200119159215,0.337604414394448
"2012",0.390022182300939,0.307954440052214,0.287336042412715
"2011",0.450240029839339,0.425076094579428,0.394138188091024
"2010",0.617536083186401,0.636472082630032,0.432550943604998
"2009",0.616451025642224,0.582192945203882,0.441223194001893
"2008",0.636917730222834,0.463048829922766,0.447236500448483
"2007",0.549375457261345,0.475092262007738,0.372835653782378
"2006",0.643151325716278,0.649502962416619,0.437506687567616
"2005",0.616414721637444,0.590771252847365,0.442286163245747
"2004",0.594053295682311,0.626442379888626,0.454672637080083
"2003",0.63302206033655,0.572430405457368,0.484659788939471
"2002",0.629560188225685,0.627163477114731,0.483346839054956
"2001",0.722247384048131,0.721967217666894,0.538615615039554
"2000",0.619853801049167,0.575383367470916,0.472928965294116
"1999",0.603226385256356,0.612019850414281,0.475690419153132
"1998",0.715979052395245,0.678596644332426,0.45834701787933
"1997",0.530929914708299,0.499265695672669,0.390261354274994
"1996",0.514718052654974,0.459944521490868,0.378508958339541
"1995",0.629743651878762,0.626098352398508,0.483332876563466
"1994",0.516110222331964,0.412126857376077,0.45701286814846
"1993",0.728722561230775,0.860930379133976,0.605071593500604
"1992",0.748270853791617,0.818592892663723,0.568009260573294
"1991",0.445663622791084,0.524469567062877,0.390709399216549
"1990",0.444159320417601,0.658387083023158,0.441247778513571
"1989",0.343774849954247,0.425705822349368,0.466460238512745
"1988",0.256733762269391,0.296513955973523,0.408480879073865
"1987",0.416840880416357,0.672488801655401,0.528860055113284
"1986",0.383978069701282,0.561615175311143,0.490074444822787
"1985",0.402460998640388,0.526290891422668,0.460124501102214
"1984",0.341018706455012,0.335419221846637,0.402163818544892
"1983",0.366886079328918,0.494696653302066,0.442740494553862
"1982",0.472525204716518,0.716977678657496,0.548675318556114
"1981",0.382297621603728,0.512084484715906,0.447717778546155
"1980",0.428841487012948,0.730703734361221,0.466659159738668
"1979",0.427442657071042,0.565236503853381,0.428005409144031
"1978",0.437747892319212,0.551737761240494,0.415827497563217
"1977",0.37160784512348,0.420061162129493,0.325744041118039
"1976",0.409553552465352,0.544354362872683,0.375301375115537
"1975",0.358778258869734,0.544825674985182,0.302184206320415
"1974",0.270303788081451,0.469910126157984,0.307268296843036
"1973",0.233464936777196,0.394022776204269,0.241310348757178
"1972",0.219103765827594,0.303587159514917,0.187747001468397
"1971",0.246401777161958,0.305250941007404,0.182600018961189
"1970",0.216411718540432,0.231145439480462,0.147207040046337
"1969",0.270491280893284,0.327678332932598,0.18463054506307
"1968",0.268936520269463,0.370733792345407,0.189955892986549
"1967",0.226054967913424,0.296847461912296,0.194749279019265
"1966",0.209925642483247,0.290333528875844,0.177027679841168
"1965",0.242433081346158,0.284336601189437,0.193827536459063
"1964",0.198359958219497,0.239304767008072,0.136141847344797
"1963",0.206114840559604,0.231050331500248,0.11681619758654
"1962",0.177369781495825,0.173288374121757,0.0968401125770395
"1961",0.138011953083323,0.197798232963611,0.0839216239052973
"1960",0.153074639439065,0.232136211305116,0.0774566699686918
"1959",0.136916695662291,0.192143441748545,0.06865861333634
"1958",0.171302622683882,0.218362221671935,0.0807545324880872
"1957",0.167712339166298,0.213181234353413,0.0797895147306535
"1956",0.145225476312152,0.166339374128767,0.0720306875347232
"1955",0.142698031245354,0.145201440956177,0.0707318941918791
"1954",0.127208141807497,0.125119584003004,0.0627954251911991
"1953",0.130176370656073,0.140202445976925,0.0585512787485332
"1952",0.135652796784947,0.177712667111991,0.0689986957092739
"1951",0.135153116083644,0.220231382323528,0.0892750962458315
"1950",0.151450539745763,0.209677261029138,0.0859125452803555
"1949",0.136014525346842,0.205230173157042,0.0884620658258379
