"","MMF","MMF.SD"
"2014",0.386546008910712,0.0559697394943747
"2013",0.401709590536231,0.0596292357991653
"2012",0.328437554921956,0.054321076272118
"2011",0.423151437503263,0.0281003984052518
"2010",0.562186369807144,0.11266610321517
"2009",0.546622388282666,0.0928716675585572
"2008",0.515734353531361,0.105245263696812
"2007",0.465767791017154,0.0886385067142873
"2006",0.576720325233505,0.120604367691723
"2005",0.549824045910185,0.0940090103599639
"2004",0.55838943755034,0.091269623746191
"2003",0.563370751577796,0.0745948985510296
"2002",0.580023501465124,0.083733021246785
"2001",0.66094340558486,0.105939066817074
"2000",0.556055377938067,0.0753452402275595
"1999",0.563645551607923,0.0762981667618941
"1998",0.617640904869,0.139213030756292
"1997",0.473485654885321,0.0737927425350393
"1996",0.451057177495128,0.0685380770523334
"1995",0.579724960280245,0.0834978886231388
"1994",0.461749982618834,0.0521532859656645
"1993",0.731574844621785,0.12795323828201
"1992",0.711624335676211,0.129248847713993
"1991",0.453614196356837,0.0672335804534294
"1990",0.514598060651443,0.124533455284212
"1989",0.411980303605453,0.0624837462067502
"1988",0.320576199105593,0.0786831654359927
"1987",0.539396579061681,0.128149243701036
"1986",0.478555896611737,0.0893769715140871
"1985",0.46295879705509,0.06196358214128
"1984",0.359533915615514,0.0370245867606383
"1983",0.434774409061615,0.064276586665665
"1982",0.57939273397671,0.12508766010905
"1981",0.447366628288596,0.0648941441040898
"1980",0.542068127037612,0.164453909516793
"1979",0.473561523356151,0.0793933606125189
"1978",0.468437717040975,0.0729677939182491
"1977",0.37247101612367,0.0471644848069389
"1976",0.443069763484524,0.089371306738884
"1975",0.401929380058444,0.126945795613052
"1974",0.34916073702749,0.10619277262854
"1973",0.289599353912881,0.0905183736297113
"1972",0.236812642270303,0.0599160978594905
"1971",0.244750912376851,0.0613421240714791
"1970",0.198254732689077,0.0448181974904773
"1969",0.260933386296317,0.0720012667627203
"1968",0.276542068533807,0.0906286130173652
"1967",0.239217236281661,0.0523062493299109
"1966",0.22576228373342,0.0582893923534307
"1965",0.240199072998219,0.0452958695088829
"1964",0.191268857524122,0.0519457388066314
"1963",0.184660456548797,0.0600631108311592
"1962",0.149166089398207,0.0453615515525572
"1961",0.13991060331741,0.0569620415468805
"1960",0.154222506904291,0.077346159095329
"1959",0.132572916915725,0.0618569076364739
"1958",0.156806458947968,0.069939781976522
"1957",0.153561029416788,0.0678124796162117
"1956",0.127865179325214,0.0494931007856591
"1955",0.119543788797803,0.042290868474293
"1954",0.1050410503339,0.0366006851192553
"1953",0.109643365127177,0.0445301191832781
"1952",0.127454719868737,0.0548186851664719
"1951",0.148219864884335,0.0664487935103502
"1950",0.149013448685086,0.0619183395749818
"1949",0.143235588109907,0.0587180171071794
"1948",0.132720213437048,0.0385182967697207
"1947",0.133391940143638,0.0351400620167456
"1946",0.120297390472444,0.0194035766059163
"1945",0.114194289716692,0.0201716946733102
"1944",0.0843113558852491,0.0190914201374819
"1943",0.112740373499049,0.0175287259540795
"1942",0.128082666577384,0.0140756117964155
"1941",0.0976048033385308,0.0116088265170606
"1940",0.109104487498629,0.00999840336747699
"1939",0.133993028746692,0.0163190083404787
"1938",0.146853494092414,0.0152758035332645
"1937",0.127273973993441,0.00896489725126673
"1936",0.0739697580750474,0.0119464101232343
"1935",0.113794504830913,0.0150452992744416
"1934",0.0928389785637556,0.0272597794337543
"1933",0.0699734180838294,0.0261769769455445
"1932",0.088072599027463,0.0293153466770737
"1931",0.0731736845564996,0.0189883423498527
"1930",0.0817958093205716,0.0103577273100275
"1929",0.0943629547537832,0.0159467635882437
"1928",0.0996486327558757,0.0195536672054462
"1927",0.0993831229928022,0.00424345489786902
"1926",0.0846064191698159,0.00940631714413919
"1925",0.0745308851552925,0.00992893347246632
"1924",0.0823748057957607,0.0102098208437018
"1923",0.077737425062624,0.011922491074129
"1922",0.0760549540393419,0.0146401829583769
"1921",0.0715679728171581,0.0215629489013
"1920",0.0719189284664998,0.015055748161924
"1919",0.0647225915968569,0.027795798627039
"1918",0.0679681535812208,0.0302507670218644
"1917",0.0851987997948818,0.0431822587038425
"1916",0.087186473813443,0.0354873759258865
"1915",0.0773525435833218,0.0196731947320209
"1914",0.0599072107105047,0.035443119824964
"1913",0.0675356860296205,0.0351156753411727
"1912",0.0801873313958243,0.0277655391038778
"1911",0.0674059924850764,0.036740277846216
"1910",0.0765266670786867,0.0359539051197167
"1909",0.0753124164773769,0.0334969099691555
"1908",0.0735507854756573,0.0324228517414019
"1907",0.0687788888008451,0.0353974091911444
"1906",0.0674222882723958,0.0341080573951795
"1905",0.0656268356144868,0.0354385937032642
"1904",0.0621178713469938,0.0342495770211595
"1903",NA,NA
