"","MMF","MMF.SD"
"2014",29.8696919724817,3.14696242923821
"2013",29.4831459635709,3.09126745643726
"2012",29.0814363730347,3.04214429556203
"2011",28.7529988181128,3.01745068887951
"2010",28.3298473806095,2.99628670254127
"2009",27.7676610108023,2.88536044600182
"2008",27.2210386225197,2.80198360541329
"2007",26.7053042689883,2.77058624711346
"2006",26.2395364779712,2.70617657966613
"2005",25.6628161527377,2.59157583494585
"2004",25.1129921068275,2.50888996713917
"2003",24.5546026692771,2.41931567881989
"2002",23.9912319176993,2.36758087151103
"2001",23.4112084162342,2.29109210206258
"2000",22.7502650106494,2.1944906742843
"1999",22.1942096327113,2.13899019937295
"1998",21.6305640811034,2.06884714273411
"1997",21.0129231762344,1.95585951922117
"1996",20.539437521349,1.90130295791892
"1995",20.0883803438539,1.86207367677984
"1994",19.5086553835737,1.79315794851873
"1993",19.0469054009548,1.8192954236385
"1992",18.3153305563331,1.6917110447914
"1991",17.6037062206568,1.57074109139851
"1990",17.1500920243,1.50352674835282
"1989",16.6354939636486,1.38889030441901
"1988",16.2235136600431,1.40498377680827
"1987",15.9029374609375,1.45927950094686
"1986",15.3635408818758,1.39036767129561
"1985",14.8849849852641,1.36263076121764
"1984",14.422026188209,1.33764285285486
"1983",14.0624922725935,1.3732768514579
"1982",13.6277178635319,1.35946985392764
"1981",13.0483251295552,1.30238308562251
"1980",12.6009585012666,1.29024785462927
"1979",12.058890374229,1.20849442062234
"1978",11.5853288508728,1.16729905087615
"1977",11.1168911338318,1.12338243176787
"1976",10.7444201177082,1.08460940317469
"1975",10.3013503542236,1.03388701081144
"1974",9.8994209741652,0.967858522601626
"1973",9.55026023713771,0.963903279052928
"1972",9.26066088322483,0.957853729212269
"1971",9.02384824095452,0.940270078245989
"1970",8.77909732857768,0.909728604939168
"1969",8.5808425958886,0.877261416167886
"1968",8.31990920959228,0.841901241276433
"1967",8.04336714105848,0.820725480591223
"1966",7.80414990477681,0.820534737852057
"1965",7.57838762104339,0.825275237458554
"1964",7.33818854804517,0.819119277448087
"1963",7.14691969052105,0.811185229658182
"1962",6.96225923397225,0.794470037549723
"1961",6.81309314457405,0.7737476301941
"1960",6.67318254125664,0.784226674275195
"1959",6.51896003435235,0.803535227911658
"1958",6.38638711743662,0.819587038742648
"1957",6.22958065848865,0.834915590415093
"1956",6.07601962907187,0.854914424745597
"1955",5.94815444974665,0.866612083594449
"1954",5.82861066094885,0.871058619868122
"1953",5.72356961061495,0.874431140893127
"1952",5.61392624548777,0.886689448709477
"1951",5.48647152561903,0.918055014325777
"1950",5.3382516607347,0.972315426507075
"1949",5.18923821204961,1.01640148515752
"1948",5.04600262393971,1.06486667356496
"1947",4.91328241050266,1.09551652179227
"1946",4.77989047035902,1.11867546547345
"1945",4.65959307988658,1.13591049970453
"1944",4.54539879016988,1.14134461147613
"1943",4.46108743428463,1.13946055597377
"1942",4.34834706078559,1.15177260427761
"1941",4.2202643942082,1.16368300577419
"1940",4.12265959086967,1.15473538771419
"1939",4.01355510337104,1.15542911268884
"1938",3.87956207462435,1.16687693660316
"1937",3.73270858053194,1.17933264482938
"1936",3.6054346065385,1.18617266548049
"1935",3.53146484846345,1.18090065099903
"1934",3.41767034363253,1.18591762461812
"1933",3.32483136506878,1.19621121804478
"1932",3.25485794698495,1.20524448614443
"1931",3.16678534795749,1.21907724737953
"1930",3.09361166340099,1.2251545750987
"1929",3.01181585408042,1.22439683737236
"1928",2.91745289932663,1.23020727472334
"1927",2.81780426657076,1.23702287145061
"1926",2.71842114357795,1.23865750978356
"1925",2.63381472440814,1.23864979795883
"1924",2.55928383925285,1.24542112616314
"1923",2.47690903345709,1.25494911224939
"1922",2.39917160839446,1.24561387968769
"1921",2.32311665435512,1.23340238274302
"1920",2.25154868153796,1.21717675572175
"1919",2.17962975307146,1.20407251555551
"1918",2.1149071614746,1.18242057590252
"1917",2.04693900789338,1.16092202618065
"1916",1.9617402080985,1.13068464918531
"1915",1.87455373428506,1.10707753634624
"1914",1.79720119070174,1.0910910841102
"1913",1.73729397999123,1.06517938309291
"1912",1.66975829396161,1.03836893585347
"1911",1.58957096256579,1.01853899271005
"1910",1.52216497008071,0.991568768110608
"1909",1.44563830300202,0.955763696665903
"1908",1.37032588652465,0.922401460754188
"1907",1.29677510104899,0.890077987606761
"1906",1.22799621224815,0.854714910263953
"1905",1.16057392397575,0.820669553150462
"1904",1.09494708836126,0.785284023048905
"1903",1.03282921701427,0.751087470716026
