TreeID,PlotID,site,tree,spp,canopy.class,live.dead,dbh,stems,total.cores,ba.cm,ba.meter.ha,density,notes,Distance,Azimuth
ACA001,ACA,Austin Cary FL,1,PIPA,C,LIVE,39.6,1,2,1231.6,0.9801,7.957747155,tagged: 459,1.09,117
ACA002,ACA,Austin Cary FL,2,PIPA,*,DEAD,16.5,1,0,213.8,0.402736686,18.83490451,"rotten, no core, extremely burned",8.72,144
ACA003,ACA,Austin Cary FL,3,PIPA,*,DEAD,21.6,1,0,366.4,0.2916,7.957747155,"no core, extremely burned",10.89,158
ACA004,ACA,Austin Cary FL,4,PIPA,C,LIVE,30.6,1,2,735.4,0.585225,7.957747155,,16.5,134
ACA005,ACA,Austin Cary FL,5,PIPA,C,LIVE,22.5,1,2,397.6,0.31640625,7.957747155,,18.82,131
ACA006,ACA,Austin Cary FL,6,PIPA,C,LIVE,29.9,1,2,702.2,0.55875625,7.957747155,,14.89,118
ACA007,ACA,Austin Cary FL,7,PIPA,C,LIVE,35.5,1,2,989.8,0.78765625,7.957747155,,16.03,103
ACA008,ACA,Austin Cary FL,8,PIPA,C,LIVE,33.9,1,2,902.6,0.71825625,7.957747155,,15.1,32
ACA009,ACA,Austin Cary FL,9,PIPA,C,LIVE,31.7,1,2,789.2,0.62805625,7.957747155,tagged: 992,10.7,59
ACA010,ACA,Austin Cary FL,10,PIPA,C,LIVE,18.6,1,2,271.7,0.511775148,18.83490451,tagged: 995,6.35,44
ACA011,ACA,Austin Cary FL,11,PIPA,C,LIVE,26,1,2,530.9,0.4225,7.957747155,tagged: 996,3.69,29
ACA012,ACA,Austin Cary FL,12,PIPA,C,LIVE,35.7,1,2,1001,0.79655625,7.957747155,,14.02,50
ACA013,ACA,Austin Cary FL,13,PIPA,C,LIVE,22.8,1,2,408.3,0.3249,7.957747155,,19.85,41
ACA014,ACA,Austin Cary FL,14,PIPA,C,LIVE,34.8,1,2,951.1,0.7569,7.957747155,tagged:993,9.14,19
ACA015,ACA,Austin Cary FL,15,PIPA,C,LIVE,17.1,1,2,229.7,0.432559172,18.83490451,Tagged:990,12.87,21
ACA016,ACA,Austin Cary FL,16,PIPA,C,LIVE,36.2,1,2,1029.2,0.819025,7.957747155,tagged:989,16.62,19
ACA017,ACA,Austin Cary FL,17,PIPA,C,LIVE,42.2,1,2,1398.7,1.113025,7.957747155,tagged:988,14.68,349
ACA018,ACA,Austin Cary FL,18,PIPA,C,LIVE,27.2,1,2,581.1,0.4624,7.957747155,tagged: 987?,12.92,21
ACA019,ACA,Austin Cary FL,19,PIPA,C,LIVE,26.7,1,2,559.9,0.44555625,7.957747155,tagged:1000,17.42,310
ACA020,ACA,Austin Cary FL,20,PIPA,C,LIVE,23.5,1,2,433.7,0.34515625,7.957747155,tagged: 433,16.57,286
ACA021,ACA,Austin Cary FL,21,PIPA,C,LIVE,42.9,1,2,1445.5,1.15025625,7.957747155,tagged: 450,19.66,264
ACA022,ACA,Austin Cary FL,22,PIPA,*,DEAD,25.4,1,0,506.7,0.403225,7.957747155,"no core, tagged:451",15.89,260
ACA023,ACA,Austin Cary FL,23,PIPA,C,LIVE,31.8,1,2,794.2,0.632025,7.957747155,tagged: 455,8.19,267
ACA024,ACA,Austin Cary FL,24,PIPA,C,LIVE,38,1,2,1134.1,0.9025,7.957747155,tagged: 456,3.23,265
ACA025,ACA,Austin Cary FL,25,PIPA,C,LIVE,35,1,2,962.1,0.765625,7.957747155,tagged: 453,10.1,241
ACA026,ACA,Austin Cary FL,26,PIPA,C,LIVE,22.8,1,2,408.3,0.3249,7.957747155,tagged: 452,15.26,246
ACA027,ACA,Austin Cary FL,27,PIPA,C,LIVE,34.8,1,2,951.1,0.7569,7.957747155,tagged: 472,17.88,242
ACA028,ACA,Austin Cary FL,28,PIPA,C,LIVE,35.6,1,2,995.4,0.7921,7.957747155,tagged: 470,16.47,216
ACA029,ACA,Austin Cary FL,29,PIPA,C,LIVE,37.2,1,2,1086.9,0.8649,7.957747155,tagged: 496,17.95,186
ACA030,ACA,Austin Cary FL,30,PIPA,C,LIVE,22.2,1,2,387.1,0.308025,7.957747155,tagged: 464,12.22,186
ACA031,ACA,Austin Cary FL,31,PIPA,C,LIVE,29.5,1,2,683.5,0.54390625,7.957747155,tagged: 465,12.44,196
