Year,Month,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1999,1,31,4.93,0.97,2.4,0.39,2.03,0.39,-9999,-9999,4.66,-9999,-2.65,0.95,2.59,0.96,1.45,1.42,0.88,0.96,0.57,0.93,0.96,0.49,0.73,0.57,0.72,0.76,0.59,0.66
1999,2,28,9.01,1,0.91,1,2.17,1,-9999,-9999,4.06,-9999,14.64,0.99,9.74,0.99,1.06,1.01,1.06,0.99,0,1.11,0.99,-0.1,1.05,1,0.01,1.1,1,-0.09
1999,3,31,14.59,0.92,-1.36,0.84,2.3,0.84,-9999,-9999,1.33,-9999,50.87,0.91,11.27,0.91,0.68,0.88,0.88,0.9,-0.19,1.04,0.9,-0.15,0.97,0.89,-0.28,1.09,0.89,-0.21
1999,4,30,15.27,0.95,7.19,0.22,2.76,0,-9999,-9999,3.45,-9999,45.07,0.95,23.04,0.95,1.9,1.73,1.92,0.95,-0.02,1.93,0.95,-0.2,2.11,0.58,-0.21,1.62,0.63,0.11
1999,5,31,21.58,0.93,14.65,0.92,2.79,0.29,-9999,-9999,3.41,-9999,37.4,0.92,73.37,0.92,4.78,3.08,-3.66,0.92,8.44,-3.66,0.92,6.74,-3.52,0.92,8.31,-3.65,0.92,6.74
1999,6,30,21.21,0.93,15.47,0.92,-9999,-9999,-9999,-9999,3.55,-9999,18.51,0.92,90.51,0.92,6.36,3.51,-5.89,0.92,12.25,-6.28,0.92,9.79,-5.59,0.92,11.95,-6.23,0.92,9.74
1999,7,31,23.69,0.74,24.51,0.78,-9999,-9999,-9999,-9999,3.47,-9999,8.87,0.76,92.84,0.76,7.78,4.71,-4.85,0.65,12.63,-4.09,0.75,8.8,-2.96,0.73,10.74,-3.5,0.74,8.21
1999,8,31,21.38,0.98,21.94,1,-9999,-9999,-9999,-9999,0.95,-9999,20.25,0.99,87.95,0.99,4.87,3.11,-4.41,0.99,9.28,-4.1,0.99,7.21,-4.45,0.91,9.32,-3.96,0.93,7.07
1999,9,30,18.27,0.96,21.1,0.95,-9999,-9999,-9999,-9999,1.17,-9999,34.12,0.95,55.84,0.95,2.96,2.25,-1.97,0.95,4.93,-1.93,0.95,4.19,-1.88,0.94,4.84,-1.85,0.95,4.1
1999,10,31,14.11,0.94,14.59,0.93,-9999,-9999,-9999,-9999,1.13,-9999,28.06,0.93,31.46,0.93,2.42,1.78,0.32,0.93,2.1,0.39,0.93,1.39,0.31,0.93,2.11,0.28,0.93,1.5
