"","MMA","MMB","MMC"
"2014",30.9495702530945,32.3345439572507,26.3249617070998
"2013",30.5378581006977,31.9090290011546,26.0025507888605
"2012",30.0823349350756,31.4970278095625,25.6649463744661
"2011",29.6923127527747,31.1890733695102,25.3776103320534
"2010",29.2420727229353,30.7639972749308,24.9834721439623
"2009",28.6245366397489,30.1275251923008,24.5509212003573
"2008",28.0080856141067,29.5453322470969,24.1096980063554
"2007",27.3711678838839,29.0822834171741,23.662461505907
"2006",26.8217924266225,28.6071911551664,23.2896258521246
"2005",26.1786411009063,27.9576881927498,22.852119164557
"2004",25.5622263792688,27.3669169399024,22.4098330013112
"2003",24.9681730835865,26.7404745600138,21.9551603642311
"2002",24.33515102325,26.1680441545564,21.4705005752917
"2001",23.7055908350243,25.5408806774417,20.9871537362367
"2000",22.9833434509761,24.8189134597748,20.4485381211972
"1999",22.363489649927,24.2435300923039,19.975609155903
"1998",21.7602632646706,23.6315102418896,19.4999187367499
"1997",21.0442842122754,22.9529135975572,19.0415717188706
"1996",20.5133542975671,22.4536479018845,18.6513103645956
"1995",19.9986362449121,21.9937033803936,18.272801406256
"1994",19.3688925930333,21.3676050279951,17.7894685296926
"1993",18.8527823707014,20.955478170619,17.3324556615441
"1992",18.1240598094706,20.0945477914851,16.7273840680435
"1991",17.375788955679,19.2759548988213,16.1593748074702
"1990",16.9301253328879,18.7514853317585,15.7686654082537
"1989",16.4859660124703,18.0930982487353,15.3274176297401
"1988",16.142191162516,17.6673924263859,14.8609573912274
"1987",15.8854574002467,17.3708784704124,14.4524765121535
"1986",15.4686165198303,16.698389668757,13.9236164570402
"1985",15.084638450129,16.1367744934459,13.4335420122174
"1984",14.6821774514886,15.6104836020232,12.9734175111152
"1983",14.3411587450336,15.2750643801766,12.5712536925703
"1982",13.9742726657047,14.7803677268745,12.1285131980164
"1981",13.5017474609882,14.063390048217,11.5798378794603
"1980",13.1194498393845,13.5513055635011,11.1321201009142
"1979",12.6906083523715,12.8206018291399,10.6654609411755
"1978",12.2631656953005,12.2553653252865,10.2374555320315
"1977",11.8254178029812,11.703627564046,9.82162803446826
"1976",11.4538099578578,11.2835664019165,9.49588399335022
"1975",11.0442564053924,10.7392120390438,9.12058261823468
"1974",10.6854781465227,10.1943863640586,8.81839841191427
"1973",10.4151743584412,9.72447623790066,8.51113011507123
"1972",10.181709421664,9.33045346169639,8.26981976631405
"1971",9.96260565583644,9.02686630218148,8.08207276484566
"1970",9.71620387867448,8.72161536117407,7.89947274588447
"1969",9.49979216013405,8.49046992169361,7.75226570583813
"1968",9.22930087924077,8.16279158876101,7.56763516077506
"1967",8.96036435897131,7.7920577964156,7.37767926778851
"1966",8.73430939105788,7.49521033450331,7.18292998876925
"1965",8.52438374857464,7.20487680562746,7.00590230892808
"1964",8.28195066722848,6.92054020443803,6.81207477246902
"1963",8.08359070900898,6.68123543742996,6.67593292512422
"1962",7.87747586844938,6.45018510592971,6.55911672753768
"1961",7.70010608695355,6.27689673180795,6.46227661496064
"1960",7.56209413387023,6.07909849884434,6.37835499105534
"1959",7.40901949443116,5.84696228753922,6.30089832108665
"1958",7.27210279876887,5.65481884579068,6.23223970775031
"1957",7.10080017608499,5.43645662411874,6.15148517526222
"1956",6.93308783691869,5.22327538976533,6.07169566053157
"1955",6.78786236060654,5.05693601563656,5.99966497299685
"1954",6.64516432936119,4.91173457468039,5.92893307880497
"1953",6.51795618755369,4.78661499067738,5.86613765361377
"1952",6.38777981689762,4.64641254470046,5.80758637486524
"1951",6.25212702011267,4.46869987758847,5.73858767915596
"1950",6.11697390402903,4.24846849526494,5.64931258291013
"1949",5.96552336428326,4.0387912342358,5.56340003762977
"1948",5.82950883893642,3.83356106107876,5.47493797180394
"1947",5.69809558528523,3.66168570443239,5.38006594179036
"1946",5.55688188090045,3.49772365220008,5.28506587797653
"1945",5.44024526343093,3.35645304782614,5.18208092840265
"1944",5.31160338471683,3.2336601746227,5.09093281117012
"1943",5.2080875443874,3.149576992697,5.0255977657695
"1942",5.09145025146395,3.02158430137473,4.93200662951807
"1941",4.9638159327897,2.87920720549765,4.81777004433726
"1940",4.85339260218013,2.79140708506986,4.72317908535902
"1939",4.73506329646983,2.68090292578773,4.62469908785557
"1938",4.59683057017238,2.53312915599323,4.50872649770744
"1937",4.44892260258142,2.37155441551839,4.37764872349599
"1936",4.32008611585755,2.23619951428785,4.26001818947009
"1935",4.23237441824309,2.16805859446298,4.19396153268427
"1934",4.10742844524996,2.04830316047688,4.09727942517077
"1933",3.99513361514898,1.94376320300842,4.03559727704894
"1932",3.9051830983338,1.86413346812335,3.9952572744977
"1931",3.79788923598728,1.76154067341544,3.94092613446974
"1930",3.70917941917005,1.68273622701899,3.88891934401392
