"","MMA001","MMA002","MMA003","MMA004","MMA005","MMA006","MMA007","MMA008","MMA009","MMA010","MMA011","MMA012","MMA013","MMA014","MMA015","MMA016","MMA017","MMA018","MMA019","MMA020","MMA021","MMA022","MMA023","MMA024","MMA025","MMA026","MMA027","MMA028","MMA029","MMA030","MMA031","MMA032","MMA033","MMA034","MMA035","MMB001","MMB002","MMB003","MMB004","MMB005","MMB006","MMB007","MMB008","MMB009","MMB010","MMB011","MMB012","MMB013","MMB014","MMB015","MMB016","MMB018","MMB019","MMB020","MMB021","MMB022","MMB023","MMB024","MMB025","MMB026","MMC001","MMC002","MMC003","MMC005","MMC006","MMC007","MMC008","MMC010","MMC011","MMC012","MMC013","MMC014","MMC015","MMC016","MMC017","MMC018","MMC019","MMC020","MMC021","MMC022","MMC023","MMC024","MMC025","MMC026","MMC027","MMC029","MMC030","MMC031","MMC032","MMC033"
"2014",0.345,NA,NA,0.19,0.07,NA,0.98,NA,0.165,NA,NA,NA,NA,1.09,0.195,0.17,NA,1.13875,NA,0.46,0.56,0.5,0.335,NA,NA,0.75,NA,NA,NA,1.75,0.325,0.77,NA,NA,NA,0.08,NA,0.17,0.245,0.07,0.715,NA,NA,0.74,0.3,NA,0.145,0.485,0.7,NA,NA,0.18,0.14,NA,NA,0.37,NA,1.285,NA,NA,NA,0.06,0.45,0.22,NA,NA,NA,0.41,0.29,NA,0.47,NA,NA,0.795,0.53,0.445,NA,NA,NA,0.55,0.135,0.98,NA,NA,NA,NA,0.225,NA,0.355,1
"2013",0.55,0.22,0.49,0.58,0.74,0.685,4.8,0.475,1.44,NA,0.31,0.18,0.165,3.325,0.225,0.555,0.27,2.26875,0.51,0.895,0.25,3.105,0.345,0.208,0.89,1.655,0.57,1.52,0.455,2.975,1.875,1.67,0.51,0.145,0.34,1.02,0.79,1.48,3.435,0.055,2.55,0.59,0.673333333333333,1.65,0.44,1.485,1.015,2.185,2.065,NA,0.963333333333333,2.505,0.9,0.835,0.45,1.94,0.74,2.72,1.06,0.355,0.51,0.2,0.965,0.35,0.855,NA,0.11,0.82,0.33,0.235,1.45,NA,0.315,1.985,3.135,1.03,NA,0.41,0.33,1.785,3.335,3.39,0.345,0.496666666666667,0.86,0.625,0.255,NA,1.055,2
"2012",0.875,0.07,0.765,0.415,0.565,0.76,2.93,0.58,1.295,0.79,0.355,0.24,0.19,2.89,0.25,0.605,0.3,2.30125,0.86,1.03,0.18,2.205,0.36,0.818,0.825,1.265,0.735,1.065,0.765,1.845,1.745,1.56,0.11,0.17,0.365,0.84,0.665,0.665,2.535,0.1,1.595,0.77,0.503333333333333,1.105,0.485,0.71,0.555,1.15,1.535,NA,0.9,1.28,0.66,0.82,0.53,1.09,0.52,2.835,0.815,0.31,0.47,0.095,0.79,0.51,0.545,0.07,0.9,0.785,0.28,0.215,1.575,NA,0.295,1.495,1.9,0.74,NA,0.78,2.61,1.27,0.995,2.29,0.565,0.43,0.71,0.955,0.29,0.3,1.105,1.38
"2011",1.115,0.09,1.465,0.455,0.815,0.83,4.185,0.46,1.265,0.63,0.495,0.12,0.22,4.075,0.265,0.225,0.23,2.17875,1.25,1.425,0.165,2.275,0.28,1.327,0.59,0.765,1.09,1.125,0.765,2.065,1.28,2.695,0.54,0.35,0.52,1.29,0.71,0.835,2.515,0.07,2.065,0.115,1.22666666666667,1.13,0.18,1.305,0.52,1.165,2.18,NA,2.31,1.515,1.22,2.68,1.305,0.96,0,2.935,1.055,0.345,0.95,0.09,1.07,0.58,1.25,0.97,0.605,1.19,0.34,0.11,2.49,NA,0.28,1.925,3.285,0.875,NA,1.3,2.52,1.325,1.345,3.39,0.33,1.09,1.8,1.06,0.355,0.46,1.19,1.95
"2010",1.38,0.25,1.505,0.76,1.07,1.445,5.615,0.7,1.27,0.815,0.245,0.21,0.425,3.345,0.27,1.025,1.25,2.18875,2.105,2.95,0.295,3.065,0.28,3.202,2.88,1.035,1.005,2.835,0.78,2.645,1.975,2.92,0.39,0.315,0.41,2.67,0.705,1.08,3.52,0.07,2.435,0.46,2.15,1.53,0.6,2.375,0.655,1.265,2.32,NA,3.36333333333333,1.24,0.72,5.335,3.535,1.44,0.41,4.195,1.33,0.445,3.32,0.105,1.19,0.58,2.18,0.92,0.28,0.985,0.37,0.43,1.715,0.09,0.515,1.545,2.215,1.285,NA,1.925,1.4,1.375,1.72,4.125,0.425,1.48666666666667,2.02,1.87,0.455,0.48,1.55,2.65
"2009",1.67,0.48,0.885,0.88,1.05,1.77,3.925,0.595,1.845,1.3,0.84,0.4,0.53,3.185,0.45,0.905,1.22,2.385,1.86,2.705,0.71,2.835,0.32,3.325,3.03,1.055,1.2,1.905,1.39,3.745,2.265,2.405,0.63,0.465,0.73,1.915,0.805,0.785,3.945,0.055,2.045,0.285,2.18,1.825,1.105,3.155,0.685,1.505,1.44,NA,3.42333333333333,1.35,0.92,4.94,3.015,1.23,0.47,2.3,1.005,0.46,2.83,0.15,1.055,0.83,1.4,0.41,0.355,1.15,0.3,0.19,2.095,0.22,0.35,2.285,2.17,1,NA,1.81,3.71,1.26,1.485,4.06,0.32,1.29,2.115,1.42,0.445,0.65,1.365,1.88
"2008",1.615,0.88,2.335,1,2.17,2.18,2.855,1.015,2.03,1.495,1.295,0.19,0.75,3.13,0.52,1.255,2.34,2.37625,2,2.945,0.88,2.87,0.31,3.3455,3.09,1.08,0.93,2.565,1.785,3.18,2.455,2.54,0.3,0.425,0.96,1.125,1.02,0.75,3.58,0.06,2.215,0.45,1.89,1.81,0.575,2.05,1.325,1.43,1.95,0.15,1.57666666666667,1.61,0.9,3.78,2.665,1.09,0.58,2.43,1.185,0.365,2.58,0.27,1.515,0.74,1.92,1,0.28,1.135,0.51,0.15,3.525,0.28,0.21,2.155,2.25,0.93,NA,1.885,2.24,1.265,2.235,3.655,0.37,1.16,1.795,1.87,0.47,0.69,1.53,2.55
"2007",1.32,0.97,1.57,0.87,0.975,1.515,4.54,0.195,1.235,1.265,1.395,0.44,0.76,3.05,0.495,0.96,1.14,1.97125,1.9,3.075,1.165,2.065,0.395,1.816,3.33,1.275,1.315,1.645,0.98,3.225,2.35,2.525,0.32,0.39,0.96,1.01,0.635,0.545,3.505,0.075,2.035,0.575,1.31666666666667,1.87,0.64,2.83,0.995,1.575,1.66,0.15,1.32666666666667,1.405,0.63,3.3,2.41,2.03,0.57,5.005,0.96,0.285,1.87,0.19,1.425,0.89,1.365,0.29,0.26,1.005,0.86,0.275,2.165,0.27,0.22,1.84,2.35,1.395,0.1,1.395,0.93,1.5,1.63,4.29,0.415,1.35666666666667,2.04,1.3,0.485,0.31,1.375,1.91
"2006",2.315,1.11,2.045,1.235,1.365,1.82,4.385,0.81,1.86,1.655,2.62,0.78,0.775,3.365,1.025,1.035,1.21,2.41625,2.375,2.955,0.775,2.86,0.45,3.327,3.135,1.42,1.54,2.47,1.24,2.815,2.555,2.925,0.2,0.74,1.255,1.845,1.14,0.93,3.7,0.06,2.105,1.54,2.75,2.245,0.66,2.895,1.66,2.405,1.455,0.43,3.26666666666667,1.39,0.88,5.69,2.98,1.84,0.62,4.765,1.855,0.81,1.935,0.405,1.76,1.3,2.05,0.17,0.13,1.565,0.58,0.315,1.965,0.14,0.205,1.72,2.41,1.51,0.16,1.84,1.58,1.205,2.595,4.495,0.575,2.33,2.845,1.865,0.445,0.51,1.85,2.31
"2005",1.63,3.51,2.23,1.385,2.035,2.27,3.695,0.715,1.76,1.695,2.57,1.25,0.93,3.745,1.145,1.07,1.64,2.51125,1.88,2.98,1.845,2.73,0.52,1.7305,2.83,1.5,2.255,2.765,1.455,2.855,2.4,2.525,0.24,0.785,1.165,1.59,1.13,0.835,3.69,0.105,2.39,1.11,2.28,1.675,0.81,1.365,1.625,2.765,1.99,0.32,3.92666666666667,1.06,0.78,4.8,4.115,1.82,0.83,2.895,1.835,1.28,1.81,0.37,1.54,1,1.705,0.04,0.32,1.365,0.85,0.81,2.35,0.49,0.66,1.705,2.675,1.54,0.265,2.31,3.76,1.65,2.195,3.71,1.58,1.87,2.64,2.26,0.595,0.48,1.705,1.79
