year,ash.20,maple.20,white.20,litu.20,red.20,fagr.20,sass.20
1903,1.343351735,,,1.229021416,,,
1904,0.925195881,1.469325541,1.10446692,0.916400035,,,
1905,1.076568749,1.141058058,1.275871488,0.953053693,0.903225467,,
1906,0.84493935,0.968175531,0.919616101,0.990552337,0.925093214,,
1907,0.875543192,0.907201334,0.693760513,0.968233527,1.083538902,,
1908,1.025278799,0.912726558,1.101047662,1.05578962,1.060501842,1.128642622,
1909,1.065355015,0.937395699,0.953497817,1.042435531,1.361475049,1.203284853,
1910,0.917228684,1.00711471,1.1093491,0.850416155,1.280142366,1.117726803,
1911,1.06192246,0.89866671,0.721675946,0.795015352,0.768000557,0.78339271,
1912,1.328689492,1.133525779,1.217477914,1.428360684,0.984569523,1.13163702,
1913,0.8830626,0.82769823,1.015969953,0.895907796,0.809905527,0.752248791,
1914,0.780015366,0.814484005,0.647196487,0.660181704,0.692705029,0.524858622,
1915,1.209684304,1.312811819,1.085479108,1.10635301,1.10287293,1.214229701,
1916,1.15341048,1.132557201,1.16913384,1.29330414,1.21819161,0.992275989,
1917,0.958166259,1.125600921,1.049165244,1.088348554,1.024341051,1.120855905,
1918,0.772729402,0.806411057,0.89243043,0.923426131,0.835139265,0.844816398,
1919,0.619430612,0.760447136,0.776834659,0.894957,0.871028209,0.805769972,
1920,0.980881252,1.007299853,0.93640612,0.998743599,1.025835663,1.090862978,
1921,0.820604045,0.888863179,0.936250418,0.852449822,0.887227436,0.904089245,
1922,0.994487483,0.974783795,1.07380415,0.867602949,0.920097293,1.163620218,
1923,0.875994555,0.737165122,1.14607235,0.935525395,0.988248417,0.651638182,
1924,1.143968029,1.08481956,1.021572724,1.25276441,0.948732151,0.839401078,
1925,0.728080912,0.97037579,0.965357984,0.847932431,0.811697951,1.227179143,
1926,1.097801557,0.758049223,1.064304482,0.928344281,1.033781708,1.135070532,
1927,1.217931341,1.211499476,1.037426142,1.208021795,1.129406205,1.134856064,
1928,1.184352689,0.983474739,1.084626448,1.180461958,1.207053692,0.944644086,
1929,1.143205106,1.13025754,0.994446739,1.226584719,1.173917651,1.171740177,
1930,0.973341047,0.756333037,0.918939008,0.840972489,0.990669381,0.758020345,
1931,0.94004701,1.137981282,0.856550234,0.832244987,0.929032722,0.733060343,
1932,0.946340419,0.970257464,0.864816116,1.113665492,1.022991157,0.973070758,
1933,0.870645113,0.596799353,0.607650502,0.784527324,0.829198381,0.898562719,
1934,0.94048692,1.026305269,0.939840075,0.891560458,0.95317741,0.796364132,
1935,1.089241299,1.084014906,1.197069845,1.207816356,1.07337946,0.951656402,
1936,0.591262334,0.620287738,0.807200732,0.412987545,0.757923501,0.877547128,
1937,0.904500077,1.417380006,1.31309841,1.193766223,0.972485384,1.30694142,
1938,1.214747669,1.448833288,1.315245715,1.510374348,1.165010206,1.695927522,
1939,1.196187805,0.994620485,1.157234146,1.147588978,1.158159712,0.838889215,
1940,1.119236422,0.809339815,0.934985633,0.859275987,1.018737736,0.821925648,
1941,0.877555267,0.93020398,0.844896137,0.695394549,1.005487162,0.770334988,
1942,0.976991476,1.201652614,1.100853831,0.949697235,1.194056734,1.194842152,
1943,1.027266346,0.635376644,0.946887158,0.91168914,0.954645066,0.897549131,
1944,0.805739147,0.529821974,0.717166645,0.544984303,0.814567578,0.613657702,
1945,0.963344796,1.658201073,0.935949477,0.874306216,0.983667674,0.946859674,
1946,0.969646444,0.861352006,1.103226924,0.947131627,0.942263937,0.884806344,
1947,1.063739654,1.114046636,1.051431054,0.993353725,1.025041063,1.13197546,
1948,0.848959391,1.103455675,1.138461891,1.043486228,0.944060518,1.293995369,
1949,1.024963418,1.084709052,1.176922476,1.362622575,1.007385856,1.062464567,
1950,1.149952514,1.006710015,1.035565147,1.318671045,1.078881512,1.247446528,
1951,1.259557598,1.089060239,1.071451785,1.403308839,1.177367924,1.519451056,
1952,1.161187781,0.84515391,0.933313441,1.093675404,0.963065555,0.86769365,
1953,0.892729142,0.80093089,0.762924746,0.783635138,0.927621262,0.656493267,
1954,0.935129988,1.079678011,0.802113977,0.694474983,0.960133728,0.843533489,
1955,0.928832872,1.18132358,1.069768655,0.651403287,0.88845995,1.20088577,
1956,0.976308505,0.849823443,1.070212132,0.815507699,1.020415674,0.944474091,
1957,1.094827601,0.950322466,1.096216208,1.116727143,1.008660864,0.845916912,
1958,1.048401534,0.872010207,0.931286377,1.167329209,1.126004309,0.708749103,
1959,1.026971348,0.355022714,0.73910011,0.987937526,0.921537447,0.480462935,
1960,1.057367427,0.705122998,0.713945335,1.116301518,0.907735418,0.657149093,
1961,0.967964488,0.465344968,0.743761949,0.934932049,0.855917398,0.474864564,
1962,0.84818281,1.222226104,0.802650499,0.702125859,0.742945325,0.92544832,
1963,0.892358365,1.407909715,0.824045146,1.109736761,0.80391908,1.514259667,
1964,1.094201068,1.212413934,1.033569701,0.971695493,0.847444711,1.206626613,
1965,1.088993101,1.464840162,1.38018232,0.973703841,1.201371875,1.279991276,
1966,1.130186522,1.025173573,1.245250884,1.003510815,1.105785483,1.182508219,
1967,0.970955151,0.994782248,1.160082963,0.905257375,0.966619204,0.988235681,1.915693739
1968,0.911448058,1.04742705,1.116115127,1.047123721,1.209323906,1.139500884,1.264694336
1969,0.930425207,0.86377749,1.090468216,0.982209012,1.214149916,1.049843635,0.992185574
1970,0.771819959,0.692059313,0.80682133,0.51078755,1.052896869,0.777897952,0.895189757
1971,0.896307984,0.787733655,0.788315732,0.89339055,0.932126657,0.673362219,0.734682422
1972,0.66840274,0.716019156,0.551961528,0.731525881,0.853982323,0.763871282,0.638414556
1973,0.880097997,0.683976797,0.701178329,1.09471555,0.690190002,0.643049841,0.668855641
1974,1.097719571,0.979605541,0.97362891,1.333093687,0.657745075,0.827310265,0.935091176
1975,1.281695096,1.201712567,1.287691888,1.227665997,1.018622785,0.941494477,1.121653835
1976,1.245386868,1.26198771,1.324755867,1.100832427,1.071678562,1.142128603,1.064713987
1977,0.956968461,1.016902622,1.114651498,0.66460918,1.152710604,1.035043639,1.053983388
1978,1.034917813,1.126222547,1.137874069,1.017884212,1.284873185,1.29225475,1.032994261
1979,0.866124287,1.205204623,1.023869741,0.852167625,1.133151109,1.267608498,1.088944562
1980,1.142318026,1.126068485,0.850875618,1.262484366,1.033833572,1.208894585,1.184121328
1981,1.042172557,1.015711702,0.798488399,0.971464916,0.93084024,0.902331292,0.997904674
1982,1.284253988,1.110066965,1.269422668,1.365093738,1.302169371,1.052232022,1.101737668
1983,0.984855283,0.776940351,0.923882375,0.854736402,0.944273209,0.88142261,0.861167695
1984,0.850687185,0.757327319,0.826505218,0.4724086,0.842193124,0.718080899,0.878278138
1985,0.939509469,0.943720641,0.957503675,0.878685192,0.942572305,1.096674892,0.978351584
1986,0.993791578,0.843571307,0.937336022,1.074800726,0.849613074,0.985962082,1.171156491
1987,0.895009669,0.972743058,1.011968734,1.382700136,0.897264621,0.935602314,1.134932568
1988,0.751175947,0.479216984,0.803801619,0.456971884,0.71701388,0.525396152,0.762134683
1989,0.746823534,0.85337953,0.984972458,0.713054628,0.859497978,0.735870886,0.842324381
1990,0.826421575,0.923895674,0.742107572,1.211728963,0.781980059,1.080824627,0.814486089
1991,0.894994205,0.872782532,0.867849575,0.953418447,0.804864997,0.949225683,0.556052458
1992,1.253145821,1.699463966,1.234003816,1.25964597,1.278599075,1.459523988,0.826599018
1993,1.433457426,1.217502264,1.246357368,1.582695894,1.183826693,1.22718582,0.967699232
1994,0.992292905,0.902326962,0.932127176,0.63991567,0.943349989,0.752887807,0.875054863
1995,0.941739094,1.158207406,1.030305552,0.925263351,1.01202847,1.199596632,0.900322802
1996,0.991836283,0.727618848,0.806174831,0.717956906,0.914725282,0.823202676,1.008317477
1997,0.775879951,0.903633357,0.854814638,0.673687449,0.852065754,0.94236639,1.039847159
1998,1.120942063,0.932059566,1.011365557,1.148647282,1.316726979,0.984690124,1.031256935
1999,0.889318663,0.929656798,0.970408781,1.082117186,0.936124393,0.922804015,1.057642745
2000,0.984036513,0.926747205,1.005803551,0.860368175,0.898500849,1.024893349,1.226585082
2001,1.113488734,1.13240584,1.293039785,1.167844244,1.106715653,1.120265394,1.124646324
2002,1.066971111,0.977017246,1.001036563,1.026873602,0.973730527,0.916131598,0.942470291
2003,0.95953563,1.036446839,0.863782919,0.805882198,1.064785202,0.950185209,1.016774448
2004,0.89011475,0.792191438,0.951239999,1.008383144,1.003813664,0.962335347,0.993298894
2005,0.898640046,1.030289555,0.952307205,1.025609967,0.998086292,0.937987252,1.046869348
2006,1.104165147,1.036332358,1.119288256,1.205776509,0.95523891,1.040765237,0.943136323
2007,1.108887753,0.802559878,0.92290721,0.737928595,0.894471937,0.896248047,0.936026178
2008,0.868557477,1.182081936,1.045938878,0.919535113,1.014721224,1.069301058,0.916694995
2009,0.894967917,1.015113879,1.053462128,1.173287142,1.09122587,1.03100224,0.870704042
2010,1.295510597,1.111396635,1.041320006,1.42142016,1.006952415,1.154977162,1.044853518
2011,1.095624735,0.91062743,1.044400789,0.994497426,1.048973102,0.938157338,1.013142844
2012,0.934169808,0.86563777,0.867144501,0.532529692,1.004421313,0.976951197,0.91504399
2013,1.185871815,1.01305097,1.278121933,0.722411682,1.325792691,1.622396546,1.34102441
2014,0.4778376,0.312388932,0.546818822,0.117962168,0.62289294,0.237308823,0.505207531
