id,spp,death.date,site,class,years.dead
BOB77a,FAGR,2006,trib,1,3
BOB78A,FAGR,2008,trib,1,1
BOB78B,FAGR,2007,trib,1,2
BOB79,FAGR,2007,trib,1,2
CWD95A,FAGR,2009,trib,1,0
TRIB01A,FAGR,2006,trib,1,2
TRIB02A,FAGR,2006,trib,1,2
TRIB04A,FAGR,2006,trib,1,2
BOB81,FAGR,2003,trib,2,6
CWD105,FAGR,2005,trib,2,4
CWD109,FAGR,1998,trib,2,11
CWD93A,FAGR,2008,trib,2,1
CWD94A,FAGR,2002,trib,2,7
CWD97A,FAGR,2003,trib,2,6
CWD101,FAGR,1997,trib,3,12
CWD103,FAGR,1997,trib,3,12
CWD107,FAGR,1999,trib,3,10
CWD110,FAGR,1996,trib,3,13
CWD111,FAGR,2007,trib,3,2
CWD89,FAGR,1994,trib,3,15
CWD99A,FAGR,2004,trib,3,5
BOB78C,FAGR,1993,trib,4,16
CWD102,FAGR,2002,trib,4,7
CWD113,FAGR,2004,trib,4,5
CWD114,FAGR,2005,trib,4,4
CWD118,FAGR,1999,trib,4,10
CWD90A,FAGR,1995,trib,4,14
CWD98,FAGR,1995,trib,4,14
MOB01,FAGR,2008,vinca,1,1
VIN03A,FAGR,2008,vinca,1,1
VIN04A,FAGR,2008,vinca,1,1
VIN05A,FAGR,2008,vinca,1,1
VIN06A,FAGR,2008,vinca,1,1
VIN07A,FAGR,2008,vinca,1,1
VIN08A,FAGR,2006,vinca,1,1
VIN09A,FAGR,2008,vinca,1,1
VIN11A,FAGR,2008,vinca,1,1
VIN01A,FAGR,2004,vinca,2,4
VIN02A,FAGR,2007,vinca,2,1
CWD15A,FRAX,2000,morel,1,9
OCT01,FRAX,2008,morel,2,3
OCT02,FRAX,2008,morel,2,3
CWD12A,FRAX,1985,morel,3,24
CWD13A,FRAX,1998,morel,3,11
CWD13B,FRAX,1997,morel,3,12
CWD17A,FRAX,1998,morel,3,11
MOR09A,FRAX,2000,morel,3,9
MOR10A,FRAX,2000,morel,3,9
CWD28A,FRAX,2007,vinca,2,2
CWD30A,FRAX,2001,vinca,2,8
CWD36B,FRAX,1995,vinca,3,14
CWD29A,FRAX,1997,vinca,3,12
CWD39A,FRAX,1991,vinca,3,18
WEB10A,FRAX,1998,webster,2,13
WEB10B,FRAX,1998,webster,2,13
WEB17A,FRAX,2001,webster,2,10
WEB18A,FRAX,2001,webster,2,10
WEB25A,FRAX,2000,webster,4,11
B75-02,LITU,2009,bigoaks,1,0
B75-06,LITU,2009,bigoaks,1,0
B75-07,LITU,2009,bigoaks,1,0
B75-08,LITU,2008,bigoaks,1,1
B75-19,LITU,2003,bigoaks,3,6
GUT07A,LITU,2007,gutherie,1,1
GUT01a,LITU,1995,gutherie,3,13
OCT07,LITU,2008,morel,2,3
OCT11,LITU,2007,morel,2,4
OCT12,LITU,2007,morel,2,4
OCT09,LITU,2008,morel,3,3
BOB84a,LITU,2008,trib,1,1
CWD96A,LITU,2005,trib,3,4
cwd20a,LITU,1999,vinca,3,10
cwd38a,LITU,1999,vinca,3,10
CWD38B,LITU,1999,vinca,3,10
WEB21A,RED,2007,webster,2,4
WEB24A,RED,2008,webster,2,3
WEB29A,RED,2009,webster,2,2
WEB34A,RED,2007,webster,2,4
WEB37A,RED,2009,webster,2,2
WEB39A,RED,2008,webster,2,3
WEB19A,RED,1995,webster,3,16
WEB27A,RED,1999,webster,3,12
WEB36A,RED,2000,webster,3,11
WEB12A,RED,1997,webster,4,14
WEB13A,RED,1997,webster,4,14
WEB23A,RED,1997,webster,4,14
OCT13,WHITE,2009,morel,2,2
CWD115,WHITE,2008,trib,1,1
Last Oak,WHITE,2000,trib,2,9
CWD34A,WHITE,2008,vinca,1,1
CWD32A,WHITE,1994,vinca,3,15
LOG01,WHITE,1998,vinca,3,13
LOG02,WHITE,1990,vinca,3,21
WEB22A,WHITE,2008,webster,2,3
