"","MMA007A","MMA007B","MMA014A","MMA014B","MMA015A","MMA015B","MMA018A","MMA018B","MMA018C","MMA018D","MMA022A","MMA022B","MMA023A","MMA023B","MMA024A","MMA024B","MMA026A","MMA026B","MMA030A","MMA030B","MMA031A","MMA031B","MMA032A","MMA032B","MMB001A","MMB001B","MMB002A","MMB002B","MMB003A","MMB003B","MMB004A","MMB004B","MMB006A","MMB006B","MMB007A","MMB007B","MMB008A","MMB008B","MMB008C","MMB009A","MMB009B","MMB011A","MMB012A","MMB012B","MMB013B","MMB014A","MMB014B","MMB015A","MMB015B","MMB016A","MMB016B","MMB016C","MMB018A","MMB018B","MMB019A","MMB020A","MMB020B","MMB021A","MMB021B","MMB022A","MMB023A","MMB024A","MMB024B","MMB025A","MMB025B","MMB026B","MMC003A","MMC003B","MMC010A","MMC010B","MMC011A","MMC013A","MMC013B","MMC016A","MMC016B","MMC017A","MMC017B","MMC018A","MMC018B","MMC022A","MMC022B","MMC023A","MMC023B","MMC024A","MMC024B","MMC026A","MMC026B","MMC026C","MMC027A","MMC027B","MMC032A","MMC032B","MMC033A","MMC033B"
"2014",51.27,51.27,35.42,35.42,24.9,24.9,97.27,97.27,97.27,97.27,43.22,43.22,24.8,24.8,64.39,64.39,21.17,21.17,61.4,61.4,52.37,52.37,60.15,60.15,75.8,75.8,22.9,22.9,26.5,26.5,59.4,59.4,53.4,53.4,37.1,37.1,77.3,77.3,77.3,53.5,53.5,49.4,24.3,24.3,33.4,24.5,24.5,21.2,21.2,87.4,87.4,87.4,33.5,33.5,41.5,42.3,42.3,38.4,38.4,45.5,26.3,59.2,59.2,44.4,44.4,27.8,23.1,23.1,51.8,51.8,35.8,35.1,35.1,91.8,91.8,25.74,25.74,23.6,23.6,20.3,20.3,28.7,28.7,55.6,55.6,48.8,48.8,48.8,37.4,37.4,51.2,51.2,58.6,58.6
"2013",51.161,51.183,35.312,35.31,24.883,24.878,97.1465,97.157,97.1535,97.1675,43.165,43.175,24.756,24.777,64.39,64.39,21.099,21.091,61.169,61.281,52.345,52.33,60.081,60.065,75.792,75.8,22.9,22.9,26.477,26.489,59.383,59.368,53.343,53.314,37.1,37.1,77.3,77.3,77.3,53.433,53.419,49.4,24.285,24.286,33.34,24.42,24.44,21.2,21.2,87.4,87.4,87.4,33.482,33.5,41.486,42.3,42.3,38.4,38.4,45.463,26.3,59.06,59.083,44.4,44.4,27.8,23.066,23.044,51.763,51.755,35.771,35.048,35.058,91.708,91.733,25.689,25.685,23.555,23.556,20.248,20.242,28.685,28.688,55.506,55.498,48.8,48.8,48.8,37.4,37.4,51.159,51.17,58.5,58.512
"2012",50.745,50.639,35.071,34.886,24.854,24.862,96.816,96.9455,96.8985,97.057,42.855,42.864,24.716,24.748,64.3692,64.39,20.927,20.932,60.843,61.012,52.147,52.153,59.916,59.896,75.703,75.685,22.819,22.823,26.272,26.398,58.967,59.097,53.135,53.012,37.063,37.019,77.233,77.238,77.227,53.262,53.26,49.219,24.18,24.188,33.18,24.193,24.254,21.2,21.2,87.292,87.314,87.305,33.231,33.25,41.396,42.187,42.246,38.358,38.352,45.269,26.226,58.752,58.847,44.296,44.292,27.757,23.002,22.915,51.697,51.657,35.738,34.868,34.948,91.505,91.539,25.392,25.355,23.421,23.484,20.078,20.055,28.277,28.429,55.151,55.175,48.75,48.752,48.749,37.317,37.311,51.057,51.061,58.3,58.309
"2011",50.501,50.297,34.794,34.585,24.823,24.843,96.5415,96.764,96.6875,96.8035,42.689,42.589,24.672,24.72,64.2874,64.39,20.797,20.809,60.665,60.821,51.994,51.957,59.753,59.747,75.618,75.602,22.748,22.761,26.193,26.344,58.671,58.886,53.004,52.824,37.004,36.924,77.193,77.187,77.167,53.155,53.146,49.136,24.124,24.133,33.075,24.053,24.087,21.2,21.2,87.215,87.239,87.187,33.089,33.136,41.33,42.109,42.16,38.305,38.299,45.16,26.174,58.467,58.565,44.296,44.129,27.73,22.931,22.828,51.617,51.58,35.71,34.687,34.814,91.354,91.391,25.232,25.135,23.33,23.427,19.946,19.933,28.148,28.359,54.949,54.919,48.722,48.711,48.689,37.234,37.252,50.956,50.941,58.162,58.142
"2010",50.08,49.881,34.415,34.149,24.799,24.814,96.286,96.584,96.465,96.59,42.5,42.323,24.643,24.693,64.1547,64.39,20.721,20.732,60.476,60.597,51.886,51.809,59.462,59.499,75.491,75.471,22.684,22.683,26.091,26.279,58.391,58.663,52.815,52.6,36.981,36.924,77.081,77.074,77.024,53.044,53.031,48.963,24.068,24.085,32.958,23.884,23.82,21.2,21.2,87.069,87.087,86.792,32.919,33.003,41.208,41.845,41.888,38.168,38.175,45.064,26.174,58.142,58.303,44.229,43.985,27.684,22.846,22.699,51.541,51.418,35.676,34.533,34.47,91.142,91.218,25.025,24.685,23.203,23.379,19.826,19.788,27.977,28.261,54.634,54.556,48.656,48.607,48.532,37.025,37.101,50.816,50.843,57.967,57.893
"2009",49.554,49.284,34.06,33.835,24.772,24.787,96.0085,96.4435,96.2205,96.377,42.177,42.033,24.605,24.675,63.9088,63.9955,20.611,20.635,60.234,60.31,51.689,51.611,59.186,59.191,75.273,75.155,22.619,22.607,25.975,26.179,57.964,58.386,52.649,52.279,36.935,36.878,76.908,76.827,76.799,52.906,52.863,48.645,23.994,24.028,32.833,23.685,23.555,21.2,21.2,86.897,86.833,86.209,32.786,32.888,41.136,41.255,41.411,37.852,37.784,44.92,26.133,57.663,57.943,44.126,43.822,27.636,22.73,22.577,51.448,51.314,35.639,34.349,34.311,90.968,91.083,24.766,24.501,23.022,23.303,19.703,19.636,27.766,28.128,54.308,54.057,48.535,48.479,48.335,36.785,36.937,50.679,50.67,57.702,57.578
"2008",49.164,48.889,33.711,33.547,24.719,24.75,95.6795,96.2735,95.976,96.1665,41.838,41.805,24.572,24.644,63.6712,63.5681,20.506,20.529,59.85,59.945,51.523,51.324,58.961,58.935,75.103,74.942,22.557,22.508,25.895,26.102,57.38,58.181,52.468,52.051,36.898,36.858,76.728,76.562,76.59,52.753,52.651,48.292,23.922,23.963,32.701,23.557,23.395,21.2,21.2,86.736,86.334,85.842,32.622,32.782,41.044,40.769,40.909,37.586,37.447,44.797,26.086,57.431,57.715,44.063,43.684,27.582,22.637,22.459,51.372,51.16,35.609,34.094,34.147,90.737,90.857,24.566,24.267,22.876,23.249,19.575,19.512,27.587,28.01,53.919,53.634,48.452,48.358,48.152,36.54,36.759,50.545,50.531,57.514,57.349
"2007",48.918,48.564,33.388,33.244,24.652,24.713,95.3995,96.083,95.756,95.9065,41.522,41.547,24.539,24.615,63.3818,63.1884,20.407,20.412,59.573,59.586,51.315,51.041,58.71,58.678,74.986,74.834,22.484,22.377,25.835,26.012,56.851,57.994,52.304,51.772,36.822,36.844,76.574,76.385,76.354,52.603,52.439,47.974,23.752,23.868,32.567,23.407,23.155,21.192,21.178,86.623,86.219,85.597,32.43,32.652,40.954,40.339,40.583,37.303,37.197,44.688,26.028,57.17,57.49,43.971,43.539,27.541,22.49,22.303,51.265,51.04,35.558,33.595,33.941,90.533,90.63,24.36,24.023,22.743,23.196,19.453,19.381,27.35,27.8,53.593,53.229,48.383,48.27,47.961,36.364,36.576,50.391,50.379,57.259,57.058
"2006",48.497,48.077,33.078,32.944,24.593,24.673,95.176,95.938,95.542,95.7005,41.324,41.332,24.486,24.589,63.2555,62.9515,20.265,20.299,59.27,59.244,51.152,50.734,58.456,58.427,74.886,74.732,22.416,22.318,25.789,25.949,56.362,57.782,52.155,51.514,36.783,36.768,76.431,76.302,76.185,52.444,52.224,47.606,23.637,23.784,32.431,23.268,22.962,21.171,21.169,86.488,86.105,85.448,32.235,32.566,40.891,39.927,40.335,37.087,36.931,44.485,25.971,56.668,56.991,43.884,43.434,27.51,22.36,22.148,51.184,50.92,35.472,33.361,33.742,90.289,90.506,24.096,23.817,22.537,23.123,19.294,19.24,27.122,27.702,53.256,52.708,48.284,48.133,47.79,36.132,36.4,50.251,50.244,57.068,56.833
"2005",48.205,47.492,32.75,32.599,24.482,24.579,94.896,95.764,95.2585,95.4715,41.017,41.067,24.428,24.557,63.0197,62.5219,20.103,20.177,58.982,58.969,50.975,50.4,58.167,58.131,74.649,74.6,22.318,22.188,25.707,25.845,55.901,57.503,51.959,51.289,36.685,36.558,76.213,76.092,75.788,52.256,51.963,47.278,23.431,23.658,32.21,23.137,22.802,21.136,21.118,86.208,85.857,84.996,32.046,32.477,40.803,39.294,39.83,36.73,36.692,44.301,25.909,56.208,56.498,43.736,43.211,27.421,22.191,21.965,51.071,50.72,35.414,33.185,33.525,90.072,90.379,23.906,23.525,22.357,23.001,19.174,19.119,26.789,27.516,52.825,52.24,48.127,47.896,47.485,35.849,36.114,50.061,50.064,56.837,56.587
