"","MMA001","MMA002","MMA003","MMA004","MMA005","MMA006","MMA007","MMA008","MMA009","MMA010","MMA011","MMA012","MMA013","MMA014","MMA015","MMA016","MMA017","MMA018","MMA019","MMA020","MMA021","MMA022","MMA023","MMA024","MMA025","MMA026","MMA027","MMA028","MMA029","MMA030","MMA031","MMA032","MMA033","MMA034","MMA035","MMB001","MMB002","MMB003","MMB004","MMB005","MMB006","MMB007","MMB008","MMB009","MMB010","MMB011","MMB012","MMB013","MMB014","MMB015","MMB016","MMB018","MMB019","MMB020","MMB021","MMB022","MMB023","MMB024","MMB025","MMB026","MMC001","MMC002","MMC003","MMC005","MMC006","MMC007","MMC008","MMC010","MMC011","MMC012","MMC013","MMC014","MMC015","MMC016","MMC017","MMC018","MMC019","MMC020","MMC021","MMC022","MMC023","MMC024","MMC025","MMC026","MMC027","MMC029","MMC030","MMC031","MMC032","MMC033"
"2014",29.47,12.39,33.27,15.89,20.1,31.21,51.27,24.98,32.89,28.18,10.88,21.78,15.91,35.42,24.9,39.62,30.78,97.27,29.78,38.29,20.66,43.22,24.8,64.39,40.4,21.17,30.12,46.51,33.6,61.4,52.37,60.15,39.78,22.5,31.68,75.8,22.9,26.5,59.4,17.5,53.4,37.1,77.3,53.5,30,49.4,24.3,33.4,24.5,21.2,87.4,33.5,41.5,42.3,38.4,45.5,26.3,59.2,44.4,27.8,39.8,22.1,23.1,15.2,45.7,16.4,13.8,51.8,35.8,12.3,35.1,24.8,10.9,91.8,25.74,23.6,26.7,41.1,47.7,20.3,28.7,55.6,26,48.8,37.4,35.2,44.5,30.2,51.2,58.6
"2013",29.401,12.1542217575471,32.7254982174097,15.852,20.086,30.6539134031009,51.074,24.63549287235,32.857,27.7770618202402,10.57443740294,21.4725279351678,15.6792196344322,35.202,24.861,39.586,30.4715190904372,97.04225,29.1950031569998,38.198,20.548,43.12,24.733,64.2355460964665,39.7711789024612,21.02,29.6638706317637,45.9143332983332,33.2705955750111,61.05,52.305,59.996,39.3756467181261,22.2530585112271,31.3648593473199,75.784,22.5375896409126,26.466,59.351,17.486,53.257,36.6844505338119,76.910925206013,53.352,29.94,48.8821239493745,24.271,33.303,24.36,20.9528336970751,86.8024514224136,33.464,41.472,41.2979324254414,37.6195260369616,45.426,25.9788324650699,58.943,43.8689134427618,27.5136841909954,39.1907760592305,22.088,23.01,15.156,45.7,16.2784353528353,13.6607000914442,51.718,35.742,12.1152100876839,35.006,24.5359184482412,10.7423928462728,91.641,25.634,23.511,26.4564432029315,40.5649916295192,46.9638244506768,20.19,28.673,55.404,25.8146882881487,48.3680367217294,36.8326263003556,34.698139524231,44.455,29.8491958646039,51.129,58.4
"2012",29.291,12.1102217575471,32.6274982174097,15.736,19.938,30.5169134031009,50.114,24.54049287235,32.569,27.3748880253084,10.51243740294,21.4365279351678,15.6462196344322,34.537,24.816,39.475,30.4175190904372,96.5885,29.0930031569998,38.019,20.498,42.499,24.664,64.1939460964665,39.5931789024612,20.689,29.5498706317637,45.6103332983332,33.1795955750111,60.455,51.93,59.662,39.2736467181261,22.2240585112271,31.2968593473199,75.58,22.3795896409126,26.17,58.664,17.475,52.747,36.5664505338119,76.7762585393464,53.022,29.852,48.5851239493745,24.068,32.866,23.947,20.6993597699305,86.6097847557469,32.963,41.292,41.1309324254414,37.5295260369616,45.038,25.8308324650699,58.399,43.6569134427618,27.4426841909954,39.0887760592305,22.048,22.817,15.086,45.529,16.1535507864076,13.6387000914442,51.554,35.676,12.0682100876839,34.716,24.2718379333305,10.6793928462728,91.244,25.007,23.305,26.2097847455464,40.4829916295192,46.8978244506768,19.833,28.006,54.726,25.7456882881487,48.268703388396,36.6606263003557,34.573139524231,44.404,29.4991641172642,50.918,58
"2011",29.116,12.0962217575471,32.4744982174097,15.653,19.825,30.3649134031009,49.528,24.42449287235,32.31,27.2168880253084,10.44143740294,21.3885279351678,15.6082196344322,33.959,24.766,39.354,30.3575190904372,96.12825,28.9210031569998,37.813,20.462,42.058,24.592,64.0303460964665,39.4281789024612,20.436,29.4028706317638,45.3973332983332,33.0265955750111,60.086,51.581,59.35,39.2516467181261,22.1900585112271,31.2238593473199,75.412,22.2465896409126,26.037,58.157,17.455,52.428,36.4124505338119,76.6755918726797,52.801,29.755,48.4431239493745,23.957,32.636,23.64,20.4395804346747,86.4297847557469,32.707,41.16,40.9669324254414,37.4235260369616,44.82,25.7268324650699,57.832,43.4939134427618,27.3806841909954,38.9947760592305,22.029,22.659,14.984,45.42,16.1395507864076,13.4587000914442,51.397,35.62,12.0252100876839,34.401,24.0077584551788,10.6203928462728,90.945,24.627,23.157,25.9600273694861,40.3269916295192,46.3758244506768,19.579,27.807,54.268,25.6326882881487,48.182703388396,36.5186263003556,34.382139524231,44.346,29.4391641172642,50.697,57.724
"2010",28.893,12.0782217575471,32.1814982174097,15.562,19.662,30.1989134031009,48.691,24.33249287235,32.057,27.0908880253084,10.34243740294,21.3645279351678,15.5642196344322,33.144,24.713,39.309,30.3115190904372,95.6925,28.6710031569998,37.528,20.429,41.603,24.536,63.7649460964665,39.3101789024612,20.283,29.1848706317638,45.1723332983332,32.8735955750111,59.673,51.325,58.811,39.1436467181261,22.1200585112271,31.1198593473199,75.154,22.1045896409126,25.87,57.654,17.441,52.015,36.3894505338119,76.4302585393464,52.575,29.719,48.1821239493745,23.853,32.403,23.204,20.1735001235252,85.9677847557469,32.404,40.916,40.4309324254414,37.1625260369616,44.628,25.7268324650699,57.245,43.2829134427618,27.3116841909954,38.8047760592305,22.011,22.445,14.868,45.17,15.9455507864076,13.3377000914442,51.159,35.552,12.0032100876839,33.903,23.7436800136075,10.5643928462728,90.56,23.97,22.982,25.7071765580341,40.0669916295192,45.8718244506768,19.314,27.538,53.59,25.5666882881487,47.964703388396,36.1586263003556,34.170139524231,44.275,29.3471641172642,50.459,57.334
"2009",28.617,12.0282217575471,31.8804982174097,15.41,19.448,29.9099134031009,47.568,24.19249287235,31.803,26.9278880253084,10.29343740294,21.3225279351678,15.4792196344322,32.475,24.659,39.104,30.0615190904372,95.25475,28.2500031569998,36.938,20.37,40.99,24.48,63.1245460964665,38.7341789024612,20.076,28.9838706317638,44.6053332983332,32.7175955750111,59.144,50.93,58.227,39.0656467181261,22.0570585112271,31.0378593473199,74.62,21.9635896409126,25.654,56.95,17.427,51.528,36.2974505338119,76.0002585393463,52.269,29.599,47.7071239493745,23.722,32.15,22.74,19.9011254848076,85.2951180890802,32.156,40.772,39.3639324254414,36.4555260369616,44.34,25.6448324650699,56.406,43.0169134427618,27.2226841909954,38.1407760592305,21.99,22.207,14.752,44.734,15.7615507864076,13.2817000914442,50.962,35.478,11.9172100876839,33.56,23.7256800136075,10.4613928462728,90.251,23.527,22.725,25.451240536115,39.6819916295192,45.5918244506768,19.039,27.194,52.765,25.4816882881487,47.6673700550627,35.7546263003556,33.796139524231,44.184,29.2511641172642,50.149,56.804
"2008",28.283,11.9322217575471,31.7034982174097,15.234,19.238,29.5559134031009,46.783,24.07349287235,31.434,26.6678880253084,10.12543740294,21.2425279351678,15.3732196344322,31.838,24.569,38.923,29.8175190904372,94.77775,27.8780031569998,36.397,20.228,40.423,24.416,62.4595460964665,38.1281789024612,19.865,28.7438706317638,44.2243332983332,32.4395955750111,58.395,50.477,57.746,38.9396467181261,21.9640585112271,30.8918593473199,74.237,21.8025896409126,25.497,56.161,17.416,51.119,36.2404505338119,75.5642585393463,51.904,29.378,47.0761239493745,23.585,31.849,22.452,19.6224653829567,84.6104514224136,31.886,40.588,38.3759324254414,35.8525260369616,44.094,25.5508324650699,55.946,42.8159134427618,27.1306841909954,37.5747760592305,21.96,21.996,14.586,44.454,15.6795507864076,13.2107000914442,50.732,35.418,11.8792100876839,33.141,23.6816800136075,10.3913928462728,89.794,23.093,22.525,25.1922302702953,39.3199916295192,44.8498244506768,18.787,26.897,51.953,25.4176882881487,47.4093700550627,35.3316263003556,33.512139524231,44.095,29.1211641172642,49.876,56.428
"2007",27.96,11.7562217575471,31.2364982174097,15.034,18.804,29.1199134031009,46.212,23.87049287235,31.028,26.3688880253084,9.86643740294002,21.2045279351678,15.2232196344322,31.212,24.465,38.672,29.3495190904372,94.3025,27.4780031569998,35.808,20.052,39.849,24.354,61.7904460964665,37.5101789024612,19.649,28.5578706317638,43.7113332983332,32.0825955750111,57.759,49.986,57.238,38.8796467181261,21.8790585112271,30.6998593473199,74.012,21.5985896409126,25.347,55.445,17.404,50.676,36.1504505338119,75.1862585393463,51.542,29.263,46.6661239493745,23.32,31.563,22.062,19.5924653829567,84.2951180890802,31.564,40.408,37.6199324254414,35.3195260369616,43.876,25.4348324650699,55.46,42.5789134427618,27.0576841909954,37.0587760592305,21.906,21.693,14.438,44.07,15.4795507864076,13.1547000914442,50.505,35.316,11.8492100876839,32.436,23.6256800136075,10.3493928462728,89.363,22.643,22.339,24.9301594687831,38.9429916295192,44.4018244506768,18.534,26.45,51.222,25.3436882881487,47.1773700550627,34.9726263003556,33.138139524231,44.001,28.9831641172642,49.57,55.918
"2006",27.696,11.5622217575471,30.9224982174097,14.86,18.609,28.8169134031009,45.304,23.83149287235,30.781,26.1158880253084,9.58743740294002,21.1165279351678,15.0712196344322,30.602,24.366,38.48,29.1215190904372,93.90825,27.0980031569998,35.193,19.819,39.436,24.275,61.4272460964665,36.8441789024612,19.394,28.2948706317638,43.3823332983332,31.8865955750111,57.114,49.516,56.733,38.8156467181261,21.8010585112271,30.5078593473199,73.81,21.4715896409126,25.238,54.744,17.389,50.269,36.0354505338119,74.922925206013,51.168,29.135,46.1001239493745,23.121,31.248,21.73,19.5624653829567,84.0297847557469,31.283,40.282,36.9599324254414,34.8375260369616,43.47,25.3208324650699,54.459,42.3869134427618,27.0006841909954,36.6847760592305,21.868,21.408,14.26,43.797,15.4215507864076,13.1027000914442,50.304,35.144,11.7942100876839,32.003,23.5716800136075,10.3053928462728,88.995,22.173,22.06,24.9101594687831,38.6639916295192,44.2158244506768,18.234,26.124,50.364,25.2606882881487,46.9060367217294,34.5646263003556,32.878139524231,43.904,28.9211641172642,49.295,55.536
"2005",27.233,11.3402217575471,30.5134982174097,14.613,18.336,28.4529134031009,44.427,23.66949287235,30.409,25.7848880253084,9.06343740294001,20.9605279351678,14.9162196344322,29.929,24.161,38.273,28.8795190904372,93.425,26.6230031569998,34.602,19.664,38.864,24.185,60.7618460964665,36.2171789024612,19.11,27.9868706317638,42.8883332983332,31.6385955750111,56.551,49.005,56.148,38.7756467181261,21.6530585112271,30.2568593473199,73.441,21.2435896409126,25.052,54.004,17.377,49.848,35.7274505338119,74.372925206013,50.719,29.003,45.5211239493745,22.789,30.767,21.439,19.4764653829567,83.3764514224136,31.005,40.106,35.8219324254414,34.2415260369616,43.102,25.1968324650699,53.506,42.0159134427618,26.8386841909954,36.2977760592305,21.787,21.056,14,43.387,15.3875507864076,13.0767000914442,49.991,35.028,11.7312100876839,31.61,23.5436800136075,10.2643928462728,88.651,21.691,21.758,24.8781594687831,38.2959916295192,43.8998244506768,17.993,25.605,49.465,25.1456882881487,46.4400367217294,33.9956263003556,32.505139524231,43.815,28.8191641172642,48.925,55.074
"2004",26.907,10.6382217575471,30.0674982174097,14.336,17.929,27.9989134031009,43.688,23.52649287235,30.057,25.4458880253084,8.54943740294001,20.7105279351678,14.7302196344322,29.18,23.932,38.059,28.5515190904372,92.92275,26.2470031569998,34.006,19.295,38.318,24.081,60.4157460964665,35.6511789024612,18.81,27.5358706317637,42.3353332983332,31.3475955750111,55.98,48.525,55.643,38.7276467181261,21.4960585112271,30.0238593473199,73.123,21.0175896409126,24.885,53.266,17.356,49.37,35.5054505338119,73.916925206013,50.384,28.841,45.2481239493745,22.464,30.214,21.041,19.4124653829567,82.5911180890802,30.793,39.95,34.8619324254414,33.4185260369616,42.738,25.0308324650699,52.927,41.6489134427618,26.5826841909954,35.9357760592305,21.713,20.748,13.8,43.046,15.3795507864076,13.0127000914442,49.718,34.858,11.5692100876839,31.14,23.4456800136076,10.1323928462728,88.31,21.156,21.45,24.8251594687831,37.8339916295192,43.1478244506768,17.663,25.166,48.723,24.8296882881487,46.0660367217294,33.4676263003556,32.053139524231,43.696,28.7231641172642,48.584,54.716
"2003",26.497,10.4142217575471,29.6094982174097,14.056,17.704,27.6539134031009,43.011,23.31149287235,29.561,25.2228880253084,8.23843740294001,20.5245279351678,14.5352196344322,28.399,23.739,37.841,28.1575190904372,92.414,25.8760031569998,33.656,18.943,37.831,23.948,60.0715460964665,35.1731789024612,18.609,27.2608706317638,41.8713332983332,31.0695955750111,55.34,48.036,55.024,38.4516467181261,21.3370585112271,29.7028593473199,72.759,20.8755896409126,24.704,52.458,17.259,48.882,35.3544505338119,73.4575918726797,50.157,28.632,44.7811239493745,22.25,29.834,20.612,19.3084653829567,81.5977847557469,30.559,39.796,33.9599324254414,32.6575260369616,42.264,24.9408324650699,52.258,41.2309134427618,26.4376841909954,35.6317760592305,21.58,20.422,13.616,42.765,15.3715507864076,12.9767000914442,49.471,34.712,11.4812100876839,30.613,23.3536800136076,10.0263928462728,87.881,20.66,21.174,24.7911594687831,37.5149916295192,41.8578244506768,17.353,24.63,48.044,24.6356882881487,45.6853700550627,33.0426263003556,31.821139524231,43.583,28.6091641172642,48.282,54.21
