"","nep","year","temp.Jan","temp.Feb","temp.Mar","temp.Apr","temp.May","temp.Jun","temp.Jul","temp.Aug","temp.Sep","temp.Oct","temp.Nov","temp.Dec","precip.Jan","precip.Feb","precip.Mar","precip.Apr","precip.May","precip.Jun","precip.Jul","precip.Aug","precip.Sep","precip.Oct","precip.Nov","precip.Dec","radiation.Jan","radiation.Feb","radiation.Mar","radiation.Apr","radiation.May","radiation.Jun","radiation.Jul","radiation.Aug","radiation.Sep","radiation.Oct","radiation.Nov","radiation.Dec","airhumidity.Jan","airhumidity.Feb","airhumidity.Mar","airhumidity.Apr","airhumidity.May","airhumidity.Jun","airhumidity.Jul","airhumidity.Aug","airhumidity.Sep","airhumidity.Oct","airhumidity.Nov","airhumidity.Dec","year"
"nep",1,-0.113539651036263,-0.0185698978602886,0.144857153296471,0.131053641438484,-0.06267199665308,0.211274489760399,-0.00373420817777514,-0.0987943783402443,0.373082935810089,0.0434186495840549,-0.0398130938410759,0.0385521873831749,-0.421893149614334,0.65826541185379,-0.0927100107073784,0.0186687838286161,-0.0648457333445549,-0.0805589109659195,-0.0403259992599487,0.589881956577301,-0.155669510364532,0.0296036060899496,0.00802236516028643,0.328179329633713,-0.111407101154327,-0.158421352505684,0.482772976160049,-0.206069827079773,0.271771401166916,-0.009919130243361,0.357776582241058,0.138605952262878,-0.342508643865585,0.0881902277469635,-0.628995358943939,0.353315770626068,0.648989140987396,0.224102139472961,0.127525880932808,0.253383308649063,0.0306455809623003,0.204210609197617,-0.26414942741394,0.416053414344788,-0.0670986697077751,0.131064668297768,-0.118601433932781,0.157050982117653,-0.660238564014435,-0.113539651036263
"year",-0.113539651036263,1,-0.499385267496109,-0.336591273546219,0.0951542630791664,-0.0112378830090165,-0.257525563240051,0.227680176496506,-0.249793738126755,-0.346426427364349,-0.0884447619318962,0.0243665464222431,0.0432766042649746,-0.347104519605637,-0.207093819975853,-0.0129075516015291,-0.210954606533051,0.271452397108078,0.14088299870491,0.272547632455826,-0.151512622833252,0.414895474910736,-0.29866623878479,0.402488023042679,0.103408113121986,0.797766208648682,-0.257515460252762,-0.551517963409424,-0.262227445840836,-0.262000799179077,0.0888435989618301,0.045109000056982,0.177134901285172,-0.192165672779083,0.0309762805700302,0.176732435822487,0.168260604143143,-0.248868241906166,-0.666660010814667,-0.612171232700348,0.100923627614975,-0.193139404058456,-0.219889312982559,-0.128147050738335,-0.297264903783798,-0.483556628227234,-0.144497916102409,0.05472781509161,-0.0193035621196032,-0.278480976819992,1
"temp.Jan",-0.0185698978602886,-0.499385267496109,1,0.231185182929039,-0.118724152445793,0.419207870960236,0.487503737211227,-0.14831879734993,0.156454592943192,0.302271693944931,-0.242108911275864,0.0541119389235973,-0.508446037769318,0.229231625795364,0.344729840755463,0.319802641868591,0.532880544662476,-0.480971455574036,-0.308230340480804,-0.115859515964985,-0.0463856123387814,-0.685964107513428,0.63347464799881,-0.276914149522781,-0.14844822883606,-0.73916482925415,-0.160166218876839,0.531377673149109,0.203376829624176,0.0330336876213551,-0.377842575311661,-0.452907413244247,-0.0861051455140114,0.111247695982456,0.249324783682823,0.149188652634621,-0.291813999414444,-0.109396278858185,0.643094480037689,0.513394236564636,-0.0193464998155832,0.508192121982574,0.161789566278458,-0.246205821633339,-0.238010197877884,0.343804895877838,-0.496639668941498,0.0439163893461227,-0.403881281614304,0.0497996062040329,-0.499385267496109
"temp.Feb",0.144857153296471,-0.336591273546219,0.231185182929039,1,0.132066413760185,-0.38205674290657,0.18572635948658,-0.302575707435608,-0.225336149334908,-0.0215597562491894,0.0218039341270924,-0.409479230642319,0.0507970042526722,-0.472795158624649,0.588882565498352,0.0939714983105659,-0.176509723067284,0.0727826952934265,0.112516567111015,-0.00156258686911315,-0.178601533174515,-0.0811565071344376,0.107914984226227,0.0298791043460369,-0.520042777061462,-0.442172437906265,-0.0637790709733963,0.419212609529495,0.0462243929505348,0.547113597393036,0.0961595848202705,0.300492316484451,-0.0226883478462696,-0.412143230438232,-0.465916275978088,0.219864681363106,-0.160359516739845,-0.179020270705223,0.0479142628610134,0.699334442615509,0.128114178776741,-0.0570586174726486,0.198263511061668,-0.0626653805375099,-0.111035078763962,0.185539662837982,0.0248378403484821,-0.186037302017212,-0.0457952618598938,-0.522329211235046,-0.336591273546219
"temp.Mar",0.131053641438484,0.0951542630791664,-0.118724152445793,0.132066413760185,1,-0.119164302945137,0.286145061254501,-0.304889976978302,-0.2909314930439,0.110348023474216,-0.0740675628185272,0.437059611082077,-0.00210410403087735,-0.150089651346207,0.181108802556992,0.200944617390633,-0.391396403312683,0.502773284912109,0.0769208297133446,0.463576555252075,0.192609563469887,-0.116482473909855,0.0694382265210152,-0.373265415430069,0.074874572455883,0.121785640716553,0.617695152759552,-0.198422715067863,-0.42282173037529,0.200647801160812,0.211418688297272,0.132167801260948,0.471924722194672,-0.0156840085983276,-0.138727694749832,0.0240487940609455,-0.391878873109818,-0.0137843545526266,-0.184496849775314,0.0524975657463074,0.823512673377991,-0.0561445020139217,0.397754579782486,-0.0194346997886896,-0.060757752507925,-0.153125777840614,-0.0217531975358725,-0.00810379069298506,-0.33436781167984,-0.183704376220703,0.0951542630791664
"temp.Apr",-0.06267199665308,-0.0112378830090165,0.419207870960236,-0.38205674290657,-0.119164302945137,1,0.610878467559814,0.562446236610413,0.440759360790253,0.318157434463501,-0.0575926974415779,0.0590623803436756,-0.709078431129456,0.304636240005493,-0.276158630847931,0.227037116885185,0.517232477664948,-0.680679321289062,-0.3006891310215,-0.385991632938385,0.0941979736089706,-0.291567981243134,0.265738964080811,-0.0393630415201187,0.231564953923225,-0.307313054800034,0.0157596711069345,0.235036730766296,-0.11685274541378,-0.0781188234686852,-0.0507691241800785,-0.281800180673599,0.134336292743683,0.0685823187232018,0.334248304367065,-0.153463274240494,-0.257192879915237,0.156968966126442,0.281472653150558,-0.440162986516953,-0.103001274168491,0.300230085849762,0.0394227392971516,-0.0690391883254051,-0.0859505757689476,-0.185476586222649,-0.178366988897324,0.307743847370148,-0.537239730358124,0.0768002942204475,-0.0112378830090165
"temp.May",0.211274489760399,-0.257525563240051,0.487503737211227,0.18572635948658,0.286145061254501,0.610878467559814,1,0.0376056805253029,0.0246287994086742,0.274148523807526,-0.0287077110260725,-0.200534522533417,-0.488309532403946,-0.206830114126205,0.135715290904045,0.18478088080883,0.431926161050797,-0.263983726501465,-0.501300573348999,0.129177361726761,0.204747691750526,-0.581522107124329,0.512120187282562,0.00601931381970644,0.0366750732064247,-0.483504295349121,0.269496560096741,0.314234763383865,-0.547515034675598,0.397925496101379,-0.0900410264730453,0.0307305566966534,0.58087170124054,-0.357663005590439,0.17445994913578,-0.016725692898035,-0.598482251167297,0.0851156786084175,0.419423341751099,0.079302504658699,0.351991593837738,0.351239383220673,0.325074702501297,-0.186197385191917,0.0139609491452575,-0.0660825148224831,0.00216331798583269,0.320345968008041,-0.328756719827652,-0.249664381146431,-0.257525563240051
"temp.Jun",-0.00373420817777514,0.227680176496506,-0.14831879734993,-0.302575707435608,-0.304889976978302,0.562446236610413,0.0376056805253029,1,0.288760006427765,0.00812526047229767,-0.288620978593826,-0.203396022319794,-0.166933849453926,0.309116452932358,-0.288659632205963,-0.326156824827194,0.00616495683789253,-0.467319935560226,-0.17117577791214,-0.625931560993195,0.099754586815834,0.441982835531235,0.131829515099525,0.00744288880378008,0.00351624935865402,-0.0918039530515671,-0.198145687580109,0.00847359001636505,-0.136420890688896,-0.0777971148490906,0.226374864578247,0.00860649719834328,0.10765615850687,-0.0166072379797697,0.283771485090256,-0.217332646250725,0.1149782538414,0.187372252345085,-0.0594370141625404,-0.710882425308228,-0.229990512132645,0.304449886083603,-0.18368099629879,0.00699620461091399,-0.337391704320908,-0.364138394594193,-0.217455491423607,-0.173597231507301,-0.308490395545959,-0.143117725849152,0.227680176496506
"temp.Jul",-0.0987943783402443,-0.249793738126755,0.156454592943192,-0.225336149334908,-0.2909314930439,0.440759360790253,0.0246287994086742,0.288760006427765,1,0.632277011871338,-0.107249841094017,0.264369517564774,-0.255241394042969,0.254976630210876,-0.180014804005623,0.208263874053955,0.244936659932137,-0.79356175661087,0.387404769659042,-0.53830486536026,-0.133986905217171,-0.0211619604378939,-0.0968315601348877,0.0173759423196316,0.434766173362732,-0.180007770657539,-0.241135075688362,0.27489185333252,0.428138971328735,0.0933663100004196,0.471649020910263,0.306631147861481,-0.471706062555313,-0.0966813266277313,-0.372870177030563,-0.100605547428131,0.370040565729141,0.098661758005619,0.056097574532032,-0.228625535964966,-0.383212894201279,-0.125236332416534,0.249689176678658,0.260159254074097,0.140147045254707,0.0796994492411613,-0.189667820930481,0.178222730755806,-0.180071488022804,0.202487945556641,-0.249793738126755
"temp.Aug",0.373082935810089,-0.346426427364349,0.302271693944931,-0.0215597562491894,0.110348023474216,0.318157434463501,0.274148523807526,0.00812526047229767,0.632277011871338,1,0.0935940444469452,0.402227878570557,-0.368056535720825,-0.0897918194532394,0.212570786476135,0.0809923633933067,0.387522548437119,-0.465693145990372,0.132596015930176,-0.28810977935791,0.396049827337265,-0.456984758377075,0.128432720899582,-0.451105445623398,0.438540726900101,-0.262315630912781,0.0179650243371725,0.516685426235199,0.193561568856239,0.407737463712692,0.449891149997711,0.330430179834366,-0.224402755498886,-0.0285233408212662,-0.191615760326385,-0.221943080425262,0.410551905632019,0.221806451678276,0.320906698703766,0.0814590081572533,0.232594564557076,0.180654585361481,0.775143384933472,0.263954073190689,0.382894396781921,0.518818199634552,-0.0790368095040321,0.29637736082077,-0.335906237363815,-0.193485915660858,-0.346426427364349
