"","nep","year","temp.Jan","temp.Feb","temp.Mar","temp.Apr","temp.May","temp.Jun","temp.Jul","temp.Aug","temp.Sep","temp.Oct","temp.Nov","temp.Dec","precip.Jan","precip.Feb","precip.Mar","precip.Apr","precip.May","precip.Jun","precip.Jul","precip.Aug","precip.Sep","precip.Oct","precip.Nov","precip.Dec","radiation.Jan","radiation.Feb","radiation.Mar","radiation.Apr","radiation.May","radiation.Jun","radiation.Jul","radiation.Aug","radiation.Sep","radiation.Oct","radiation.Nov","radiation.Dec","airhumidity.Jan","airhumidity.Feb","airhumidity.Mar","airhumidity.Apr","airhumidity.May","airhumidity.Jun","airhumidity.Jul","airhumidity.Aug","airhumidity.Sep","airhumidity.Oct","airhumidity.Nov","airhumidity.Dec","year"
"nep",NA,0.725333296724804,0.954321647487204,0.653302882467237,0.684757560224356,0.846573001571481,0.509794036701218,0.990810517918197,0.760009541681874,0.232291581183204,0.893417538416846,0.902229239159513,0.905313237402781,0.171908145028941,0.0199503079714316,0.774440998469742,0.95407863258607,0.841310036427254,0.803455024348246,0.900975097962747,0.0435009973033775,0.629018191077127,0.927232436667618,0.980259154769711,0.297671107361965,0.730320800426526,0.622889870573727,0.111891629023984,0.520512932494426,0.392825470107318,0.97559284241905,0.253522345995489,0.66748717198495,0.275789544702203,0.785204278334071,0.028442687711268,0.286484914158449,0.0224077021676603,0.483798789171677,0.692873040016889,0.426827583709655,0.924677497970051,0.524365434737428,0.406748194446899,0.17854827671243,0.835861604679774,0.684732240758365,0.713534501663188,0.625938954126688,0.0194541185828769,0.725333296724804
"year",0.725333296724804,NA,0.0823007892397114,0.26078987068053,0.757157029600694,0.970934233658208,0.395643322328844,0.454395250773955,0.410471259188805,0.246228407276538,0.773864997672004,0.937022298335913,0.888361667934579,0.245242824095325,0.497220753527952,0.966617805684152,0.489052194542703,0.369648616902066,0.646176805260598,0.367643821357353,0.621227566900846,0.158627397245521,0.321577000460959,0.172730312006025,0.736736508511508,0.00108437913080706,0.395662514639577,0.0507170535397838,0.386763706579142,0.38718932858346,0.772869230838913,0.883662967604541,0.562639129419334,0.529378112632634,0.919982696810749,0.563541425023382,0.601159220433206,0.412264840661262,0.0128270537258699,0.0261575255866893,0.742867191724,0.527253384161995,0.470389026779528,0.676522802458746,0.323962715259072,0.0941033649230478,0.637652201068038,0.859058707295136,0.95009152746154,0.356884258550841,0
"temp.Jan",0.954321647487204,0.0823007892397114,NA,0.447286617729071,0.699270895462469,0.153905997424706,0.091057934236674,0.628686303723694,0.609751867830765,0.315484152619874,0.425484002569117,0.860630794057759,0.076027794122882,0.451242001287173,0.248704721772332,0.286794871949371,0.060786256645198,0.0961353627637638,0.305558154413481,0.706233549148631,0.880391489890172,0.00963446481027952,0.0200996929997141,0.359708895576986,0.628383396928003,0.00388905815648943,0.601186658651115,0.0616554142846704,0.505143325304685,0.914684889000281,0.203055242367554,0.120147738200717,0.77971263504956,0.717486979456369,0.411379581212358,0.626651623583011,0.357401717577667,0.722019621140825,0.0177367802046802,0.0727466112546133,0.949980638508576,0.0761988995853342,0.597455199048382,0.417446621979628,0.433601551004977,0.250061008207731,0.0842702907862014,0.886720717171377,0.171108098408951,0.87165141787229,0.0823007892397114
"temp.Feb",0.653302882467237,0.26078987068053,0.447286617729071,NA,0.66713363175415,0.197650215867891,0.543521956272906,0.314973388451215,0.459179451497655,0.944265947494709,0.9436356190655,0.164688768268803,0.869100494909468,0.102759091859006,0.0342151781087576,0.760095513072235,0.564040985744016,0.813206275799371,0.714385428450856,0.995957759782386,0.559356120831958,0.792116146152625,0.72565216211672,0.922809174048806,0.0684955804234768,0.130305307269693,0.836012382893387,0.153900860273354,0.880804539229636,0.0529802770020298,0.754661747895244,0.318482956032447,0.941352821158443,0.16168912597013,0.108566656698624,0.470440010153311,0.618586716951067,0.558420253390856,0.876476435110851,0.00780580677208564,0.676601734588129,0.853113470535427,0.516134154419162,0.838841928142539,0.718007079638452,0.543934417426581,0.935806425664362,0.542835299771377,0.881904122149738,0.0670748510471673,0.26078987068053
"temp.Mar",0.684757560224356,0.757157029600694,0.699270895462469,0.66713363175415,NA,0.698202987084173,0.343241042239916,0.311100513050512,0.334867488385738,0.71968850519911,0.809962335356023,0.135337298834416,0.994556930707659,0.624546657006599,0.553762199445047,0.510358046140384,0.1859950914229,0.0799146992833935,0.802768667782009,0.110591510835564,0.528409059767219,0.704717603497599,0.821662907484808,0.209029069037604,0.807926280752394,0.691853653611537,0.0244722891132034,0.515790361258447,0.150020475256869,0.510996071539405,0.488074489190026,0.666891333592669,0.103482027521442,0.959442014515933,0.651278457249169,0.937842126278888,0.207721624559424,0.964351422746071,0.54624070792523,0.864753877630156,0.000540583213086254,0.855444293373537,0.178314874214082,0.949752859847953,0.843692754806523,0.617472839358008,0.943766589616895,0.979038373710328,0.264150838081326,0.547996114395959,0.757157029600694
"temp.Apr",0.846573001571481,0.970934233658208,0.153905997424706,0.197650215867891,0.698202987084173,NA,0.0265639704868583,0.0454013142344225,0.131683433444441,0.289420851771293,0.851752173674035,0.848008114645438,0.00664970528486775,0.311523818091341,0.361075205456207,0.455705346975166,0.0702706003403835,0.0104405577073423,0.31815047958103,0.192685484125208,0.75953262274604,0.333762556451678,0.380200681464192,0.898408053597991,0.446519657186582,0.307074505964503,0.959246500835226,0.439538086082648,0.703817036257938,0.799752508543583,0.869171784624927,0.350940149256448,0.661716175821291,0.82382999704488,0.264332204283487,0.616688371128718,0.419667762026049,0.608562097359672,0.351524291338249,0.132267942868701,0.737739447387585,0.318926241464805,0.898254696945213,0.822673095984153,0.780099346190165,0.544073800080692,0.559880605636364,0.306361839038538,0.0583142903563356,0.803072277020062,0.970934233658208
"temp.May",0.509794036701218,0.395643322328844,0.091057934236674,0.543521956272906,0.343241042239916,0.0265639704868583,NA,0.90292394440371,0.936345706493564,0.364723892718043,0.925827765417667,0.511239665158991,0.0904446439194326,0.497780954037045,0.658432328566193,0.54561213271872,0.140517019351547,0.383473862314224,0.0809459107612072,0.674050366106224,0.502214797971293,0.0371016306667671,0.0735817953892939,0.98442948697995,0.905316423713791,0.094144205274302,0.373243136499652,0.295737629468746,0.0527710651973528,0.178111252001447,0.76988157053646,0.920615641278202,0.0373649274431096,0.230202382902951,0.56864732062406,0.95675046599562,0.0397930969954414,0.782188941472681,0.153672515080751,0.796774892889615,0.238209762442962,0.239284259077087,0.278473064414795,0.542481931339049,0.963894985803072,0.830165835713328,0.994403753301984,0.285930681684744,0.272745466546022,0.410721709963619,0.395643322328844
"temp.Jun",0.990810517918197,0.454395250773955,0.628686303723694,0.314973388451215,0.311100513050512,0.0454013142344225,0.90292394440371,NA,0.338652293306769,0.9789828500062,0.338895409487952,0.505102271523518,0.585690550716923,0.304097377869715,0.338827806799481,0.276782550791032,0.984052786068245,0.107364002907812,0.576059512380683,0.0221103938412401,0.745756761980217,0.130489661950749,0.667699893388433,0.980747595291564,0.990903985366054,0.765488280015854,0.516388653859796,0.978082035832374,0.656754238169513,0.800562217004544,0.457056442530951,0.97773833115131,0.726287418763373,0.95705651410681,0.347435484109017,0.475694800136468,0.721974274929948,0.539891532148355,0.847054190778956,0.00645091085312366,0.449703470098815,0.311834915976277,0.548047939421915,0.981902851270064,0.259586170953306,0.221262696421813,0.475439222966235,0.570590642364671,0.305129035670843,0.64090215838216,0.454395250773955
"temp.Jul",0.760009541681874,0.410471259188805,0.609751867830765,0.459179451497655,0.334867488385738,0.131683433444441,0.936345706493564,0.338652293306769,NA,0.0204094730760924,0.727285001079481,0.382753173628206,0.399994711828049,0.400500678541661,0.556200113123936,0.494738635037962,0.419928251679579,0.00120381666667946,0.190921816809436,0.0577212958234159,0.662549070210664,0.945292893910929,0.752995076266829,0.955070536016549,0.137635570583496,0.5562158010239,0.427405780300154,0.363372333409546,0.144420752756895,0.761600204216344,0.10371172798169,0.308204513355653,0.103664175368504,0.753367608744941,0.209549958049355,0.743653099290664,0.23642419160334,0.748460727995985,0.855563978942816,0.452472587722159,0.196183258282183,0.683523729518731,0.41067369679523,0.390656632014651,0.647917235654193,0.795776921558381,0.534845517115325,0.560203295118262,0.556073686031006,0.507046323074568,0.410471259188805
"temp.Aug",0.232291581183204,0.246228407276538,0.315484152619874,0.944265947494709,0.71968850519911,0.289420851771293,0.364723892718043,0.9789828500062,0.0204094730760924,NA,0.761033892893101,0.173034291486367,0.215958389606089,0.770503118909112,0.485651211349007,0.792528353333594,0.190775283206291,0.108758669525296,0.665868304698772,0.339790160569694,0.18035394772526,0.116432826705984,0.675836979661732,0.121814505851539,0.133866611218839,0.386598169003226,0.953548780367863,0.0706198356941417,0.526333359345716,0.166669220330257,0.122946365038154,0.270165275744576,0.461091220109962,0.926302957635883,0.530579691978106,0.466147272762938,0.18494828916167,0.46642889341582,0.285040388933501,0.791356618609709,0.444443550493453,0.554773852699883,0.00185395213738282,0.383529286486869,0.196586694038547,0.0692651237035622,0.797443044817133,0.32547880664863,0.261822655914074,0.526498178900055,0.246228407276538
