year,allB_det20sp,firB_det20sp,pineB_det20sp,spruceB_det20sp
1754,0.894972218,0.894330332,NA,NA
1755,1.110660799,1.111122089,NA,NA
1756,1.088449304,1.08879699,NA,NA
1757,1.005995999,1.005921963,NA,NA
1758,0.914881205,0.914341147,NA,NA
1759,0.89237872,0.891723568,NA,NA
1760,1.065788719,1.066020504,NA,NA
1761,1.056149892,1.056382662,NA,NA
1762,1.03455731,1.034679641,NA,NA
1763,0.93604337,0.935661834,NA,NA
1764,0.986164912,0.986078317,NA,NA
1765,1.092958794,1.112769535,NA,NA
1766,0.798403831,0.757810103,NA,NA
1767,0.858623551,0.830940667,NA,NA
1768,1.014855525,1.01636028,NA,NA
1769,1.057448158,1.087635545,NA,1.004390916
1770,1.086837955,1.184103167,NA,1.055645266
1771,0.996623554,0.981564243,NA,1.015829647
1772,1.007867584,1.028821073,NA,0.955058236
1773,1.02097242,0.970698822,1.071633594,1.011306551
1774,1.021190096,1.000525871,1.026784853,0.991953191
1775,0.892912202,0.890273173,0.960266214,0.907088627
1776,0.850984721,0.875371228,0.895828216,0.905440432
1777,0.886140459,0.877993718,0.943416893,0.931158056
1778,1.013561078,0.98511133,1.02914912,1.102467574
1779,1.028713687,0.996773237,1.022809313,1.060583314
1780,1.022168681,1.020354193,0.992244056,1.05505807
1781,0.897409295,0.88872789,0.898279388,1.002347844
1782,1.10462933,1.174926244,1.027733569,0.996422891
1783,1.043219698,1.133482441,1.002348674,1.045058039
1784,1.06750714,1.092490827,1.044396694,1.013192699
1785,1.045933451,1.03091824,1.010346779,1.037175529
1786,0.864548533,0.845222537,0.922986511,0.878794531
1787,1.016290527,0.97181144,1.076997911,0.955909015
1788,1.098031018,1.139592814,1.009549745,1.060134672
1789,0.956272355,0.899400209,0.919539101,1.129593329
1790,0.921313968,0.958534831,0.936649065,0.995412219
1791,0.828252528,0.753015739,0.842315968,0.98762715
1792,1.03321731,1.058247448,1.029305113,0.889107402
1793,1.038229179,1.030896453,1.072185537,0.89458008
1794,1.145420105,1.166745124,1.122127089,1.014203587
1795,0.96758475,0.953394742,1.00100422,0.936335983
1796,0.971665275,1.005907094,0.958884804,0.95662738
1797,1.001799279,0.956960762,1.035523164,1.049643135
1798,1.122116112,1.068746886,1.091137423,1.086702625
1799,1.059759482,1.051165485,1.032547992,1.117735448
1800,1.052705659,1.042387295,1.069797834,1.009343396
1801,0.994355275,1.006390558,0.943175934,1.081965734
1802,0.941636295,0.91334112,0.956147647,1.016650053
1803,0.908167213,0.925139251,0.920140248,0.920819733
1804,0.89620983,0.925804468,0.875031124,0.973341161
1805,0.833213594,0.910930167,0.84115927,0.880585686
1806,0.842494294,0.909160104,0.840149007,0.893082846
1807,1.042396669,1.040722212,1.012509172,1.054153363
1808,0.989445021,0.935855527,1.050770186,1.040284643
1809,0.993602841,0.994910989,1.007328588,0.979734265
1810,0.952753293,0.976181475,0.90921168,0.988274246
1811,1.024944187,1.120846703,0.917337741,1.053165069
1812,1.107860978,1.12492377,1.068858594,1.032984834
1813,1.013369014,0.95462797,1.076194787,1.020719365
1814,0.947273244,0.920920589,1.016382668,0.995308913
1815,1.087578732,0.970421152,1.197552834,1.108602335
1816,1.096248802,1.02619585,1.039981508,1.16984993
1817,1.076937444,1.079273994,1.047136537,1.065621595
1818,0.841300943,0.862944313,0.888274115,0.823931341
1819,0.98928487,0.996275823,0.982100644,0.98508899
1820,0.952332172,0.949583429,0.991400801,0.938664328
1821,1.001594853,1.065826538,0.951960757,0.94761089
1822,0.912496294,0.939245561,0.874528611,0.950629773
1823,0.960654344,0.963458051,0.906734354,1.017123788
1824,0.954948378,0.974767928,0.935604028,0.958912698
1825,1.051157458,1.018993087,1.12081161,1.017686456
1826,1.007657818,0.996254199,1.034060064,0.993765664
1827,0.967404301,0.956268708,0.988771641,0.967457005
1828,1.08162823,1.059609008,1.079024741,1.12879955
1829,1.069108885,1.03341193,1.11243329,1.078000647
1830,1.067200188,1.043735299,1.076049591,1.070496691
1831,1.017314921,1.024164954,0.993443876,1.039003256
1832,1.001959335,1.022989081,0.999786287,0.975971169
1833,1.105254408,1.137125833,1.067594055,1.052401376
1834,0.951551396,0.946635499,0.958879427,0.96152108
1835,0.851701185,0.847750145,0.834649678,0.888837135
1836,0.824483979,0.836378974,0.797855825,0.848501796
1837,0.900347655,0.926534858,0.885972543,0.881387157
1838,0.898058588,0.90350135,0.923762614,0.878678318
1839,1.002346567,0.994026356,1.014148887,1.006657107
1840,1.088827751,1.058606846,1.156973533,1.06147871
1841,1.142000754,1.150141355,1.135137611,1.121498913
1842,0.969446852,0.929112411,1.044259348,0.949972141
1843,1.172649029,1.145216833,1.160439185,1.200634264
1844,1.091722886,1.137788621,1.037886016,1.076177611
1845,0.852213882,0.821770594,0.882083747,0.886501307
1846,0.937662055,0.949044959,0.914656218,0.955075381
1847,0.963188103,0.939690437,0.995455929,0.974772728
1848,1.035364791,1.030539187,1.014096423,1.055233483
1849,1.101157038,1.120585506,1.057882094,1.094942727
1850,0.980553551,0.979946417,0.963108299,0.973619251
1851,0.811742137,0.818356222,0.81515029,0.8272739
1852,0.958603628,0.949713372,1.008594068,0.941468044
1853,1.006768109,0.995534034,1.04751321,0.98851741
1854,0.958063132,0.979461037,0.984307402,0.908742274
1855,1.029790271,1.02165927,1.020898398,1.056141347
1856,1.114785388,1.119908899,1.114859237,1.107382124
1857,0.961652869,0.9394882,1.018947895,0.951012442
1858,1.125807878,1.132953454,1.11020631,1.118141377
1859,1.020437783,1.030241893,1.000671269,1.02001745
1860,1.003621296,1.009154336,0.993307272,1.006553083
1861,0.851772474,0.849370632,0.882348523,0.855702517
1862,1.059694491,1.046567993,1.061919956,1.078912692
1863,0.942660271,0.93652908,0.936373745,0.970635994
1864,0.928655728,0.923336695,0.906944634,0.973910176
1865,0.865882017,0.863224908,0.878290969,0.867412616
1866,0.940878889,0.943696166,0.938565145,0.946472477
1867,1.057358732,1.068452285,1.047941325,1.035184196
1868,1.018732472,1.001255794,1.03718766,1.034379571
1869,1.130245898,1.126601444,1.09881025,1.131493487
1870,1.056626534,1.039834326,1.080434282,1.05822997
1871,1.016405732,1.02587616,1.032059932,0.988602841
1872,0.913918005,0.910236031,0.934423108,0.918073901
1873,1.027371305,1.052050384,0.995157855,0.989088175
1874,0.927327802,0.9331596,0.911768229,0.924080444
1875,1.024518687,1.006261607,1.054752909,1.0383303
1876,1.132961188,1.116012453,1.159110961,1.116481218
1877,1.060618918,1.051191842,1.06910816,1.068254127
1878,1.020712536,1.014817516,1.02302108,1.031999199
1879,0.889605144,0.890627769,0.889388951,0.90044091
1880,0.833026812,0.826426414,0.820460268,0.869864541
1881,1.048027773,1.066237819,0.989590953,1.064682617
1882,0.819118812,0.81272873,0.844299086,0.83036533
1883,0.940194338,0.93298112,0.938386942,0.944575848
1884,1.065480031,1.067010616,1.06952908,1.052792131
1885,1.22618198,1.218245305,1.245593658,1.212693814
1886,1.111364435,1.122067605,1.110030546,1.081806976
1887,0.942594471,0.941607625,0.958506287,0.929444783
1888,0.991643115,1.00641952,0.971571975,0.986913643
1889,0.991670588,0.997438101,0.984858159,0.992148926
1890,0.816891773,0.79951394,0.837910358,0.857032855
1891,0.935191367,0.933555941,0.931269979,0.945463744
1892,1.020116114,1.0021751,0.995393142,1.087637203
1893,0.884839527,0.875338926,0.880701068,0.93153488
1894,1.101362468,1.095306064,1.112536091,1.079499917
1895,1.065844151,1.024835697,1.113973682,1.10434381
1896,0.949611205,0.930241566,0.993354584,0.94278375
1897,1.031437032,1.039115199,1.05371344,0.970370719
1898,1.090718651,1.117576102,1.079173899,1.055782897
1899,1.074513713,1.126712043,1.004593374,1.030895014
1900,1.189158546,1.218226872,1.12294255,1.185550101
1901,1.13900668,1.17003906,1.095403922,1.105738229
1902,0.916022921,0.937357159,0.892681141,0.91018701
1903,1.017291597,1.077809174,0.961922822,0.960015522
1904,0.946460084,0.979293986,0.92265689,0.91583297
1905,0.930556919,0.960933415,0.88009021,0.942462481
1906,0.611042316,0.625109946,0.644267643,0.615636116
1907,0.906962329,0.922960357,0.889832202,0.909994591
1908,0.871865383,0.836401709,0.894460048,0.923799768
1909,0.929075857,0.885950923,0.972012887,0.971821202
