"TreeID","PlotID","site","tree","species","canopy.class","live.dead","dbh","stems","total.cores","BA.cm2","BA.m2.ha","dens.stem.ha","notes","distance","azimuth","plot","Dated"
"ACA001","ACA","Austin Cary FL",1,"PIPA","C","LIVE",39.6,1,2,1231.6,0.9801,7.957747155,"tagged: 459",1.09,117,"A",NA
"ACA002","ACA","Austin Cary FL",2,"PIPA",NA,"DEAD",16.5,1,0,213.8,0.402736686,18.83490451,"rotten, no core, extremely burned",8.72,144,"A",NA
"ACA003","ACA","Austin Cary FL",3,"PIPA",NA,"DEAD",21.6,1,0,366.4,0.2916,7.957747155,"no core, extremely burned",10.89,158,"A",NA
"ACA004","ACA","Austin Cary FL",4,"PIPA","C","LIVE",30.6,1,2,735.4,0.585225,7.957747155,NA,16.5,134,"A",NA
"ACA005","ACA","Austin Cary FL",5,"PIPA","C","LIVE",22.5,1,2,397.6,0.31640625,7.957747155,NA,18.82,131,"A",NA
"ACA006","ACA","Austin Cary FL",6,"PIPA","C","LIVE",29.9,1,2,702.2,0.55875625,7.957747155,NA,14.89,118,"A",NA
"ACA007","ACA","Austin Cary FL",7,"PIPA","C","LIVE",35.5,1,2,989.8,0.78765625,7.957747155,NA,16.03,103,"A",NA
"ACA008","ACA","Austin Cary FL",8,"PIPA","C","LIVE",33.9,1,2,902.6,0.71825625,7.957747155,NA,15.1,32,"A",NA
"ACA009","ACA","Austin Cary FL",9,"PIPA","C","LIVE",31.7,1,2,789.2,0.62805625,7.957747155,"tagged: 992",10.7,59,"A",NA
"ACA010","ACA","Austin Cary FL",10,"PIPA","C","LIVE",18.6,1,2,271.7,0.511775148,18.83490451,"tagged: 995",6.35,44,"A",NA
"ACA011","ACA","Austin Cary FL",11,"PIPA","C","LIVE",26,1,2,530.9,0.4225,7.957747155,"tagged: 996",3.69,29,"A",NA
"ACA012","ACA","Austin Cary FL",12,"PIPA","C","LIVE",35.7,1,2,1001,0.79655625,7.957747155,NA,14.02,50,"A",NA
"ACA013","ACA","Austin Cary FL",13,"PIPA","C","LIVE",22.8,1,2,408.3,0.3249,7.957747155,NA,19.85,41,"A",NA
"ACA014","ACA","Austin Cary FL",14,"PIPA","C","LIVE",34.8,1,2,951.1,0.7569,7.957747155,"tagged:993",9.14,19,"A",NA
"ACA015","ACA","Austin Cary FL",15,"PIPA","C","LIVE",17.1,1,2,229.7,0.432559172,18.83490451,"Tagged:990",12.87,21,"A",NA
"ACA016","ACA","Austin Cary FL",16,"PIPA","C","LIVE",36.2,1,2,1029.2,0.819025,7.957747155,"tagged:989",16.62,19,"A",NA
"ACA017","ACA","Austin Cary FL",17,"PIPA","C","LIVE",42.2,1,2,1398.7,1.113025,7.957747155,"tagged:988",14.68,349,"A",NA
"ACA018","ACA","Austin Cary FL",18,"PIPA","C","LIVE",27.2,1,2,581.1,0.4624,7.957747155,"tagged: 987?",12.92,21,"A",NA
"ACA019","ACA","Austin Cary FL",19,"PIPA","C","LIVE",26.7,1,2,559.9,0.44555625,7.957747155,"tagged:1000",17.42,310,"A",NA
"ACA020","ACA","Austin Cary FL",20,"PIPA","C","LIVE",23.5,1,2,433.7,0.34515625,7.957747155,"tagged: 433",16.57,286,"A",NA
"ACA021","ACA","Austin Cary FL",21,"PIPA","C","LIVE",42.9,1,2,1445.5,1.15025625,7.957747155,"tagged: 450",19.66,264,"A",NA
"ACA022","ACA","Austin Cary FL",22,"PIPA",NA,"DEAD",25.4,1,0,506.7,0.403225,7.957747155,"no core, tagged:451",15.89,260,"A",NA
"ACA023","ACA","Austin Cary FL",23,"PIPA","C","LIVE",31.8,1,2,794.2,0.632025,7.957747155,"tagged: 455",8.19,267,"A",NA
"ACA024","ACA","Austin Cary FL",24,"PIPA","C","LIVE",38,1,2,1134.1,0.9025,7.957747155,"tagged: 456",3.23,265,"A",NA
"ACA025","ACA","Austin Cary FL",25,"PIPA","C","LIVE",35,1,2,962.1,0.765625,7.957747155,"tagged: 453",10.1,241,"A",NA
"ACA026","ACA","Austin Cary FL",26,"PIPA","C","LIVE",22.8,1,2,408.3,0.3249,7.957747155,"tagged: 452",15.26,246,"A",NA
"ACA027","ACA","Austin Cary FL",27,"PIPA","C","LIVE",34.8,1,2,951.1,0.7569,7.957747155,"tagged: 472",17.88,242,"A",NA
"ACA028","ACA","Austin Cary FL",28,"PIPA","C","LIVE",35.6,1,2,995.4,0.7921,7.957747155,"tagged: 470",16.47,216,"A",NA
"ACA029","ACA","Austin Cary FL",29,"PIPA","C","LIVE",37.2,1,2,1086.9,0.8649,7.957747155,"tagged: 496",17.95,186,"A",NA
"ACA030","ACA","Austin Cary FL",30,"PIPA","C","LIVE",22.2,1,2,387.1,0.308025,7.957747155,"tagged: 464",12.22,186,"A",NA
"ACA031","ACA","Austin Cary FL",31,"PIPA","C","LIVE",29.5,1,2,683.5,0.54390625,7.957747155,"tagged: 465",12.44,196,"A",NA
"ACA032","ACA","Austin Cary FL",32,"PIPA","C","LIVE",21.2,1,2,353,0.2809,7.957747155,"tagged: 458",6.05,215,"A",NA
"ACB001","ACB","Austin Cary FL",1,"PIPA",NA,"DEAD",26.8,1,2,564.1,0.4489,7.957747155,NA,19.37,5,"B",NA
"ACB002","ACB","Austin Cary FL",2,"PIPA","C","LIVE",28.5,1,2,637.9,0.50765625,7.957747155,"has some canopy damage",19.31,356,"B",NA
"ACB003","ACB","Austin Cary FL",3,"PIPA","C","LIVE",33.2,1,2,865.7,0.6889,7.957747155,NA,17.84,358,"B",NA
"ACB004","ACB","Austin Cary FL",4,"PIPA","C","LIVE",30.5,1,2,730.6,0.58140625,7.957747155,NA,18.09,347,"B",NA
"ACB005","ACB","Austin Cary FL",5,"PIPA","C","LIVE",33.5,1,2,881.4,0.70140625,7.957747155,NA,19.16,329,"B",NA
