"Year","MMA001","MMA002","MMA003","MMA004","MMA005","MMA006","MMA007","MMA008","MMA009","MMA010","MMA011","MMA012","MMA013","MMA014","MMA015","MMA016","MMA017","MMA018","MMA019","MMA020","MMA021","MMA022","MMA023","MMA024","MMA025","MMA026","MMA027","MMA028","MMA029","MMA030","MMA031","MMA032","MMA033","MMA034","MMA035","MMB001","MMB002","MMB003","MMB004","MMB005","MMB006","MMB007","MMB008","MMB009","MMB010","MMB011","MMB012","MMB013","MMB014","MMB015","MMB016","MMB018","MMB019","MMB020","MMB021","MMB022","MMB023","MMB024","MMB025","MMB026","MMC001","MMC002","MMC003","MMC005","MMC006","MMC007","MMC008","MMC010","MMC011","MMC012","MMC013","MMC014","MMC015","MMC016","MMC017","MMC018","MMC019","MMC020","MMC021","MMC022","MMC023","MMC024","MMC025","MMC026","MMC027","MMC029","MMC030","MMC031","MMC032","MMC033"
"1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339,NA,NA,NA,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1904",0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,NA,NA,NA,NA,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229,NA,NA,NA,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282,NA
"1905",0.13,NA,NA,NA,NA,NA,0.167,NA,NA,NA,NA,NA,NA,0.234,0.507,NA,NA,NA,NA,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,NA,0.326,0.084,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192,0.062,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,0.298
"1906",0.16,NA,NA,NA,NA,NA,0.131,NA,NA,NA,NA,NA,NA,0.2315,0.3175,NA,NA,NA,0.177,0.093,NA,NA,NA,NA,NA,NA,NA,0.185,NA,NA,NA,0.135,NA,0.249,0.067,0.642,NA,NA,NA,NA,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146,0.1625,0.08,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326,0.176
"1907",0.126,NA,NA,NA,NA,NA,0.084,NA,NA,NA,NA,NA,NA,0.2415,0.232,NA,NA,NA,0.081,0.1915,NA,NA,NA,NA,NA,NA,NA,0.131,NA,NA,NA,0.212,NA,0.181,0.135,0.533,NA,NA,NA,NA,NA,NA,NA,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139,0.17,0.061,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2795,0.158
"1908",0.115,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,0.2275,0.2735,0.204,NA,NA,0.064,0.1055,NA,NA,NA,NA,NA,NA,NA,0.157,NA,NA,NA,0.221,NA,0.141,0.04,0.558,NA,NA,NA,NA,NA,0.208,0.219,0.475,NA,NA,NA,NA,NA,NA,NA,0.145,NA,NA,NA,NA,0.198,0.2125,0.08,0.086,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3045,0.269
"1909",0.134,NA,NA,NA,NA,NA,0.158,NA,NA,NA,NA,NA,NA,0.2635,0.183,0.083,NA,NA,0.047,0.1,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,0.224,NA,0.133,0.059,0.502,NA,NA,NA,NA,NA,0.287,0.213,0.3695,NA,NA,NA,NA,NA,NA,NA,0.138,NA,NA,NA,NA,0.139,0.27,0.064,0.093,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,NA,NA,NA,NA,NA,0.293,NA,NA,NA,NA,0.2735,0.265
"1910",0.146,NA,NA,NA,NA,NA,0.198,NA,NA,0.043,NA,NA,NA,0.189,0.1365,0.2045,NA,0.432,0.072,0.15,NA,NA,NA,NA,NA,NA,NA,0.203,NA,NA,NA,0.321,NA,0.11,0.175,0.3685,NA,NA,NA,NA,NA,0.177,0.1925,0.4595,NA,NA,NA,NA,NA,NA,NA,0.113,NA,NA,NA,NA,0.058,0.1705,0.033,0.094,0.1035,NA,NA,NA,NA,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,0.225,NA,NA,NA,NA,NA,0.216,NA,NA,NA,0.161,0.2655,0.337
"1911",0.089,NA,NA,NA,NA,NA,0.179,NA,NA,0.034,NA,NA,NA,0.137,0.0755,0.117,0.171,0.23,0.06,0.1255,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,0.2135,NA,0.023,0.112,0.3395,NA,NA,NA,NA,NA,0.156,0.194333333333333,0.2845,NA,0.245,NA,NA,NA,NA,NA,0.069,NA,NA,NA,NA,0.17,0.212,0.102,0.0725,0.1125,NA,NA,NA,NA,NA,NA,NA,0.359,NA,NA,NA,NA,NA,NA,NA,NA,0.358,NA,NA,NA,NA,0.257,0.243,0.141,NA,NA,0.136,0.309,0.239
"1912",0.2375,NA,NA,NA,NA,NA,0.254,NA,NA,0.037,NA,NA,NA,0.141,0.1125,0.1335,0.189,0.2725,0.057,0.089,NA,0.13,NA,NA,NA,NA,NA,0.285,NA,NA,NA,0.2695,0.126,0.05,0.1,0.6155,NA,NA,NA,NA,NA,0.226,0.338666666666667,0.456,NA,0.44,NA,NA,NA,NA,NA,0.068,NA,NA,NA,NA,0.112,0.2565,0.054,0.1235,0.163,NA,NA,NA,NA,NA,NA,NA,0.194,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,0.163,0.448,0.252,0.108,NA,0.154,0.3645,0.331
