TreeID,PlotID,Site,Tree,Species,Canopy Class,Live/Dead,DBH (cm),Stems,Total Cores,Basal Area (cm2),basal area (m2/ha),Density (stems/ha),notes,Distance,Azimuth
ACA001,ACA,Austin Cary FL,001,PIPA,C,LIVE,39.60,1,2,1231.6,0.9801,7.957747155,tagged: 459,1.09,117
ACA002,ACA,Austin Cary FL,002,PIPA,*,DEAD,16.50,1,0,213.8,0.402736686,18.83490451,"rotten, no core, extremely burned",8.72,144
ACA003,ACA,Austin Cary FL,003,PIPA,*,DEAD,21.60,1,0,366.4,0.2916,7.957747155,"no core, extremely burned",10.89,158
ACA004,ACA,Austin Cary FL,004,PIPA,C,LIVE,30.60,1,2,735.4,0.585225,7.957747155,,16.50,134
ACA005,ACA,Austin Cary FL,005,PIPA,C,LIVE,22.50,1,2,397.6,0.31640625,7.957747155,,18.82,131
ACA006,ACA,Austin Cary FL,006,PIPA,C,LIVE,29.90,1,2,702.2,0.55875625,7.957747155,,14.89,118
ACA007,ACA,Austin Cary FL,007,PIPA,C,LIVE,35.50,1,2,989.8,0.78765625,7.957747155,,16.03,103
ACA008,ACA,Austin Cary FL,008,PIPA,C,LIVE,33.90,1,2,902.6,0.71825625,7.957747155,,15.10,32
ACA009,ACA,Austin Cary FL,009,PIPA,C,LIVE,31.70,1,2,789.2,0.62805625,7.957747155,tagged: 992,10.70,59
ACA010,ACA,Austin Cary FL,010,PIPA,C,LIVE,18.60,1,2,271.7,0.511775148,18.83490451,tagged: 995,6.35,44
ACA011,ACA,Austin Cary FL,011,PIPA,C,LIVE,26.00,1,2,530.9,0.4225,7.957747155,tagged: 996,3.69,29
ACA012,ACA,Austin Cary FL,012,PIPA,C,LIVE,35.70,1,2,1001.0,0.79655625,7.957747155,,14.02,50
ACA013,ACA,Austin Cary FL,013,PIPA,C,LIVE,22.80,1,2,408.3,0.3249,7.957747155,,19.85,41
ACA014,ACA,Austin Cary FL,014,PIPA,C,LIVE,34.80,1,2,951.1,0.7569,7.957747155,tagged:993,9.14,19
ACA015,ACA,Austin Cary FL,015,PIPA,C,LIVE,17.10,1,2,229.7,0.432559172,18.83490451,Tagged:990,12.87,21
ACA016,ACA,Austin Cary FL,016,PIPA,C,LIVE,36.20,1,2,1029.2,0.819025,7.957747155,tagged:989,16.62,19
ACA017,ACA,Austin Cary FL,017,PIPA,C,LIVE,42.20,1,2,1398.7,1.113025,7.957747155,tagged:988,14.68,349
ACA018,ACA,Austin Cary FL,018,PIPA,C,LIVE,27.20,1,2,581.1,0.4624,7.957747155,tagged: 987?,12.92,21
ACA019,ACA,Austin Cary FL,019,PIPA,C,LIVE,26.70,1,2,559.9,0.44555625,7.957747155,tagged:1000,17.42,310
ACA020,ACA,Austin Cary FL,020,PIPA,C,LIVE,23.50,1,2,433.7,0.34515625,7.957747155,tagged: 433,16.57,286
ACA021,ACA,Austin Cary FL,021,PIPA,C,LIVE,42.90,1,2,1445.5,1.15025625,7.957747155,tagged: 450,19.66,264
ACA022,ACA,Austin Cary FL,022,PIPA,*,DEAD,25.40,1,0,506.7,0.403225,7.957747155,"no core, tagged:451",15.89,260
ACA023,ACA,Austin Cary FL,023,PIPA,C,LIVE,31.80,1,2,794.2,0.632025,7.957747155,tagged: 455,8.19,267
ACA024,ACA,Austin Cary FL,024,PIPA,C,LIVE,38.00,1,2,1134.1,0.9025,7.957747155,tagged: 456,3.23,265
ACA025,ACA,Austin Cary FL,025,PIPA,C,LIVE,35.00,1,2,962.1,0.765625,7.957747155,tagged: 453,10.10,241
ACA026,ACA,Austin Cary FL,026,PIPA,C,LIVE,22.80,1,2,408.3,0.3249,7.957747155,tagged: 452,15.26,246
ACA027,ACA,Austin Cary FL,027,PIPA,C,LIVE,34.80,1,2,951.1,0.7569,7.957747155,tagged: 472,17.88,242
ACA028,ACA,Austin Cary FL,028,PIPA,C,LIVE,35.60,1,2,995.4,0.7921,7.957747155,tagged: 470,16.47,216
ACA029,ACA,Austin Cary FL,029,PIPA,C,LIVE,37.20,1,2,1086.9,0.8649,7.957747155,tagged: 496,17.95,186
ACA030,ACA,Austin Cary FL,030,PIPA,C,LIVE,22.20,1,2,387.1,0.308025,7.957747155,tagged: 464,12.22,186
