CoreID,TreeID,PlotID,Site,Tree,Species,Canopy Class,Live/Dead,DBH (cm),Stems,Total Cores,Core (A/B),Pith (Y/N),Pith Yr,inner present,Inner Measured,Outer Measured,Bark (Y/N),Inner Dated,Outer Dated,Dated,Notes,Zombie
ACA001A,ACA001,ACA,Austin Cary FL,001,PIPA,C,LIVE,39.60,1,2,A,,,,,,,,,,,
ACA001B,ACA001,ACA,Austin Cary FL,001,PIPA,C,LIVE,39.60,1,2,B,,,,,,,,,,,
ACA004A,ACA004,ACA,Austin Cary FL,004,PIPA,C,LIVE,30.60,1,2,A,,,,,,,,,,,
ACA004B,ACA004,ACA,Austin Cary FL,004,PIPA,C,LIVE,30.60,1,2,B,,,,,,,,,,,
ACA005A,ACA005,ACA,Austin Cary FL,005,PIPA,C,LIVE,22.50,1,2,A,,,,,,,,,,,
ACA005B,ACA005,ACA,Austin Cary FL,005,PIPA,C,LIVE,22.50,1,2,B,,,,,,,,,,,
ACA006A,ACA006,ACA,Austin Cary FL,006,PIPA,C,LIVE,29.90,1,2,A,,,,,,,,,,,
ACA006B,ACA006,ACA,Austin Cary FL,006,PIPA,C,LIVE,29.90,1,2,B,,,,,,,,,,,
ACA007A,ACA007,ACA,Austin Cary FL,007,PIPA,C,LIVE,35.50,1,2,A,,,,,,,,,,,
ACA007B,ACA007,ACA,Austin Cary FL,007,PIPA,C,LIVE,35.50,1,2,B,,,,,,,,,,,
ACA008A,ACA008,ACA,Austin Cary FL,008,PIPA,C,LIVE,33.90,1,2,A,,,,,,,,,,,
ACA008B,ACA008,ACA,Austin Cary FL,008,PIPA,C,LIVE,33.90,1,2,B,,,,,,,,,,,
ACA009A,ACA009,ACA,Austin Cary FL,009,PIPA,C,LIVE,31.70,1,2,A,,,,,,,,,,,
ACA009B,ACA009,ACA,Austin Cary FL,009,PIPA,C,LIVE,31.70,1,2,B,,,,,,,,,,,
ACA010A,ACA010,ACA,Austin Cary FL,010,PIPA,C,LIVE,18.60,1,2,A,,,,,,,,,,,
ACA010B,ACA010,ACA,Austin Cary FL,010,PIPA,C,LIVE,18.60,1,2,B,,,,,,,,,,,
