ash.20	maple.20	white.20	litu.20	red.20	fagr.20	sass.20
1903	111	NA	NA	NA	NA	98	NA
1904	39	NA	109	NA	NA	44	86
1905	78	NA	92	30	NA	53	104
1906	15	NA	52	35	NA	61	35
1907	22	NA	41	84	NA	55	5
1908	67	77	43	79	NA	73	84
1909	76	91	49	110	NA	70	50
1910	38	74	63	105	NA	29	87
1911	74	22	38	8	NA	23	9
1912	110	78	90	56	NA	110	99
1913	26	16	27	12	NA	41	61
1914	11	4	26	4	NA	10	4
1915	101	94	104	86	NA	80	80
1916	96	62	89	103	NA	102	96
1917	50	76	84	72	NA	76	71
1918	9	31	24	16	NA	46	33
1919	3	24	18	24	NA	40	14
1920	59	72	64	74	NA	64	44
1921	13	41	37	25	NA	31	43
1922	65	85	56	33	NA	35	78
1923	23	8	14	57	NA	50	93
1924	94	29	78	46	NA	99	62
1925	5	95	54	13	NA	28	52
1926	85	81	17	75	NA	48	74
1927	103	80	99	90	NA	94	67
1928	98	51	59	100	NA	90	79
1929	93	86	87	95	NA	96	56
1930	56	18	15	58	NA	27	34
1931	45	14	91	37	NA	26	28
1932	48	57	53	71	NA	82	30
1933	21	39	6	15	NA	22	3
1934	46	23	70	47	NA	38	46
1935	80	55	76	82	NA	93	98
1936	2	34	7	7	NA	2	22
1937	36	102	106	53	NA	91	108
1938	102	107	107	94	NA	111	109
1939	100	28	60	93	NA	85	94
1940	89	25	25	69	NA	33	41
1941	24	20	47	62	NA	14	25
1942	58	88	96	98	NA	52	83
1943	69	38	8	48	NA	43	47
1944	12	6	5	14	NA	7	8
1945	52	52	110	55	NA	36	42
1946	54	36	32	41	NA	51	85
1947	75	79	83	73	NA	62	72
1948	17	101	80	44	NA	71	92
1949	66	69	77	64	NA	105	97
1950	95	97	62	83	NA	103	66
1951	106	105	79	96	NA	108	77
1952	97	33	29	51	NA	77	40
1953	30	9	22	36	NA	21	13
1954	43	30	75	50	NA	13	17
1955	40	90	94	26	NA	9	75
1956	57	50	30	70	NA	25	76
1957	82	32	51	65	NA	84	82
1958	72	12	35	89	NA	87	38
1959	68	3	2	34	NA	60	10
1960	73	10	11	31	NA	83	7
1961	53	2	3	22	NA	49	12
1962	16	44	102	6	NA	15	18
1963	29	104	105	10	NA	81	23
1964	81	92	100	18	NA	57	65
1965	79	99	108	99	NA	58	111
1966	91	87	69	87	NA	65	101
1967	55	61	61	52	48	42	95
1968	37	82	74	101	46	72	89
1969	41	67	33	102	24	59	81
1970	8	21	10	78	14	5	21
1971	34	11	20	39	5	39	15
1972	4	19	12	21	3	19	2
1973	25	7	9	3	4	78	6
1974	84	27	58	2	18	104	54
1975	107	48	97	68	40	97	106
1976	104	83	103	81	37	79	110
1977	49	65	68	92	35	11	88
1978	70	100	86	106	31	67	91
1979	19	98	98	91	38	30	63
1980	92	93	85	76	44	101	26
1981	71	40	67	38	26	56	16
1982	108	68	81	107	39	106	103
1983	61	35	19	45	10	32	37
1984	18	13	16	17	13	4	24
1985	44	73	50	42	23	37	51
1986	64	60	28	19	43	74	45
1987	33	45	55	28	42	107	60
1988	7	5	4	5	6	3	19
1989	6	15	31	23	9	16	55
1990	14	71	44	9	7	95	11
1991	32	53	36	11	2	54	32
1992	105	103	111	104	8	100	100
1993	112	96	101	97	22	112	102
1994	63	17	39	43	12	8	39
1995	47	89	93	66	15	47	64
1996	62	26	13	32	27	17	20
1997	10	49	40	20	32	12	27
1998	90	59	48	108	30	86	59
1999	27	43	46	40	36	75	53
2000	60	63	45	29	45	34	58
2001	88	75	88	88	41	88	107
2002	77	42	57	54	20	69	57
2003	51	54	73	80	29	24	29
2004	28	56	21	60	25	66	48
2005	35	46	71	59	34	68	49
2006	86	66	72	49	21	92	90
2007	87	37	23	27	19	20	36
2008	20	70	95	67	17	45	70
2009	31	64	66	85	11	89	73
2010	109	84	82	63	33	109	68
2011	83	47	42	77	28	63	69
2012	42	58	34	61	16	6	31
2013	99	106	65	109	47	18	105
2014	1	1	1	1	1	1	1
