,MMA,MMB,MMC
1903,0.487202932,1.01836278,0
1904,0.57236866,1.3206074,0.455503524
1905,1.127206006,1.972825744,1.002606879
1906,1.145554009,2.629200428,1.021456196
1907,1.164683998,2.618982875,1.020948061
1908,1.186767892,4.032955896,1.042918181
1909,1.208986945,4.146751552,1.507507966
1910,5.62875179,4.214853229,1.821375495
1911,5.744297107,4.209727122,2.174597046
1912,6.018351456,4.308984452,2.23151634
1913,6.066316093,4.757652866,2.116240888
1914,6.103641572,5.213677935,6.974402485
1915,6.160196071,5.321682132,7.570991904
1916,6.213934648,5.426930931,7.70672088
1917,6.26315841,5.509841692,7.719124567
1918,6.298369205,5.57669403,7.794958225
1919,6.311053226,6.858570097,7.883625671
1920,6.399968579,7.063420644,7.969826196
1921,6.440580796,7.15330429,8.055530732
1922,6.487993255,7.256481601,8.140536756
1923,6.532854431,7.421980361,8.22626228
1924,6.448395081,7.567995924,8.243979198
1925,6.495831476,8.020826045,8.300571973
1926,6.555897764,8.149402286,8.370721899
1927,7.275974977,8.294498463,8.452657288
1928,7.365722954,8.44433289,8.52333352
1929,8.227534969,8.588159835,8.592092026
1930,8.291987448,8.694796262,8.655285693
1931,8.351914574,9.796415712,8.698925039
1932,8.422121546,9.934369288,8.746362452
1933,8.481109216,10.03134467,8.780585413
1934,8.55797993,10.15809586,8.83074339
1935,8.575854998,10.30490994,8.907587687
1936,8.629192771,10.37688206,8.957615419
1937,8.709952524,10.53640283,9.048976722
1938,8.805739492,10.72139242,9.148735178
1939,8.896346611,10.87781535,9.236487778
1940,8.969402015,10.99149553,9.309571753
1941,9.031810053,11.0790207,9.377465208
1942,8.949494728,11.22159159,9.461028635
1943,9.018089181,11.11934811,9.527537916
1944,9.073649239,11.28045674,9.572119461
1945,9.143160568,11.39803052,9.635439376
1946,9.208439836,11.55446296,9.706269354
1947,9.281766357,11.70998698,9.772577652
1948,9.349454428,11.87299403,9.836369527
1949,9.422789096,12.06111159,9.896723689
1950,10.77562508,12.25940811,9.952806677
1951,10.87221016,12.46140359,10.01313551
1952,10.89825634,12.61653432,10.0581636
1953,10.99054505,12.73211623,10.09264466
1954,11.07790779,12.82998443,10.12836269
1955,11.17552557,12.94362216,10.16837286
1956,11.2786727,13.1357257,10.21096764
1957,11.39186182,13.30763398,10.25670079
1958,11.5058917,13.48398412,10.30478797
1959,11.59575994,13.76204119,10.34755273
1960,11.6903453,13.94400132,10.39151511
1961,11.77640902,14.09203583,10.43886992
1962,11.8677019,14.24537175,10.49074412
1963,11.9693537,14.42620159,10.55076602
1964,12.11856044,14.67392745,10.62339612
1965,12.24462753,15.38713704,10.72116998
1966,12.35627573,15.63304536,10.32874855
1967,12.46358364,15.87987591,10.48041677
1968,12.6466411,16.1737733,10.6632975
1969,12.77766247,16.6342172,10.75048033
1970,12.87788399,16.85181771,10.86666878
1971,12.99267332,17.08033583,10.95398695
1972,13.08883121,17.53758575,11.04731265
1973,13.19434576,17.83074018,11.24700767
1974,13.31819864,18.50010107,11.40117913
1975,13.48475216,19.03257891,11.61412157
1976,13.67030322,19.41732365,11.79255718
1977,13.83348956,19.74014275,11.93547869
1978,14.02474007,20.11025156,12.11073408
1979,14.19126648,20.50943528,12.27659039
1980,14.35395166,21.02222326,12.43918648
1981,14.49616691,21.36732374,12.58765542
1982,14.68257457,21.84251637,12.80741789
1983,14.82026569,22.16361505,12.96783678
1984,14.94228466,22.38447116,13.08932163
1985,15.08768589,22.73297418,13.24119011
1986,15.22925705,23.09515203,13.4180354
1987,15.37407739,23.52140106,13.60884219
1988,15.46247109,23.705126,13.74509736
1989,15.58210876,23.97713385,14.35560585
1990,15.73872072,24.38445666,14.49006273
1991,15.8867708,24.70153767,14.62159413
1992,16.12027627,25.19392895,14.80548264
1993,16.36356232,25.70879139,15.01304796
1994,16.53439395,25.95037404,15.170524
1995,16.72732349,26.31365074,15.33338414
1996,16.90132241,26.5802204,15.47607609
1997,17.05870054,26.85984449,15.61163827
1998,17.30284239,27.25019657,15.77151066
1999,17.4980138,27.59133089,15.93863004
2000,17.69448786,27.9102693,16.10629637
2001,17.92099103,28.30048462,16.30988518
2002,18.11555678,28.63832487,16.47124366
2003,18.30940639,28.94139685,16.63311905
2004,18.49966924,29.26849126,16.79273311
2005,18.68648711,29.57914348,16.94647641
2006,18.89623228,29.92139833,17.11559167
2007,19.07700726,30.17300509,17.26464506
2008,19.27474518,30.41933094,17.42452103
2009,19.48368723,30.71558942,17.57636454
2010,19.69492926,31.04269938,17.72622144
2011,19.8570449,31.25902923,17.87015145
2012,19.99767193,31.41077493,17.96943017
2013,20.16939922,31.6143574,18.10437611
2014,20.23409728,31.64837383,18.14819456
