"","nep","year","temp.Jan","temp.Feb","temp.Mar","temp.Apr","temp.May","temp.Jun","temp.Jul","temp.Aug","temp.Sep","temp.Oct","temp.Nov","temp.Dec","precip.Jan","precip.Feb","precip.Mar","precip.Apr","precip.May","precip.Jun","precip.Jul","precip.Aug","precip.Sep","precip.Oct","precip.Nov","precip.Dec","radiation.Jan","radiation.Feb","radiation.Mar","radiation.Apr","radiation.May","radiation.Jun","radiation.Jul","radiation.Aug","radiation.Sep","radiation.Oct","radiation.Nov","radiation.Dec","airhumidity.Jan","airhumidity.Feb","airhumidity.Mar","airhumidity.Apr","airhumidity.May","airhumidity.Jun","airhumidity.Jul","airhumidity.Aug","airhumidity.Sep","airhumidity.Oct","airhumidity.Nov","airhumidity.Dec","year"
"nep",NA,0.00821135206679768,0.919781405637611,0.630632908087172,0.814473829912662,0.703713647021843,0.727031324670328,0.478117871505115,0.959262355194634,0.823923361407865,0.0718860292134633,0.935168160932046,0.919569316794519,0.92819605066017,0.312445788232831,0.378893750033119,0.443296431962503,0.938973800064302,0.772508743235135,0.925035386412962,0.878301578329505,0.393416713121034,0.575080765099738,0.580169196217522,0.101173897500151,0.236609593521671,0.0110091377063966,0.0460348704403488,0.0968237296588783,0.198060054162665,0.022164226198008,0.0168833026170172,0.0575887378366673,0.00125447754766261,0.463014019766659,0.335660385926812,0.392369529992211,0.416214596555083,0.723694822274574,0.147509452560863,0.653837533616669,0.667914061083118,0.781210511797358,0.999944694909878,0.419296334520117,0.579278799209474,0.406107766994978,0.783497935049086,0.917166410556228,0.844812260436683,0.00821135206679768
"year",0.00821135206679768,NA,0.877255404130444,0.346716682140091,0.936335744267592,0.705938407704069,0.493135921791818,0.946156240404854,0.568078067923146,0.775699662377112,0.256115126208029,0.961305747678199,0.879463425610999,0.953283499768493,0.985137749106427,0.416189919509589,0.438187091194606,0.787104016908962,0.67179796797761,0.891817167952449,0.604619882019635,0.134407841835572,0.732912567385664,0.829317420992502,0.0133575469764664,0.666459286607291,0.0627623756869213,0.232222648385821,0.0734633885583613,0.375450634229261,0.0921004424564578,0.0386125480374271,0.0972047456001408,0.0193283063971956,0.73293410808959,0.300134000536633,0.611886110643431,0.643350006980951,0.96416079942936,0.168091577920643,0.510282729028438,0.686715075660667,0.743425461304918,0.510384506461075,0.120944569537211,0.695419033037507,0.167552092207631,0.957574612369617,0.720366303640399,0.928467700626157,0
"temp.Jan",0.919781405637611,0.877255404130444,NA,0.0764570021922095,0.308139452298347,0.803861514380595,0.313976882217673,0.0279286460095765,0.138733587166875,0.199241041350366,0.0836882491295148,0.675807551041654,0.23557866233402,0.82064315238436,0.794622074574639,0.547173058340041,0.774078778536716,0.0461998269161938,0.575892012873136,0.982756080252831,0.0451685673146041,0.140441105181047,0.809119457442511,0.717447728864271,0.548252695906203,0.97223271032623,0.778587259787041,0.777733809916624,0.621527250943227,0.592954599634744,0.883196622754058,0.978726733314489,0.712850395633111,0.928456921310849,0.398391306157162,0.463150883259916,0.990970812100862,0.9875346099845,0.00746349813831149,0.555164220791286,0.385820308209684,0.146105476196848,0.438055727424052,0.0262747174079001,0.572717382345658,0.840047641828931,0.29018712771591,0.483836556077944,0.18410825592521,0.937951797934825,0.877255404130444
"temp.Feb",0.630632908087172,0.346716682140091,0.0764570021922095,NA,0.664251731204593,0.76972014113698,0.779428685743364,0.0809835502660279,0.468906498225457,0.880335118620946,0.520991311261239,0.367936894946392,0.45439841204705,0.311170843370033,0.446694868738838,0.801303179252976,0.1949754669221,0.251074261691532,0.225789701398203,0.4104381486222,0.0852935070443301,0.328528398981558,0.958092922872168,0.86421647064416,0.27376466600004,0.505088583629735,0.886349705880137,0.493334766624454,0.772957856140441,0.926629793320342,0.933948335817388,0.909212911372145,0.620065601199509,0.95580029601056,0.872492985872177,0.658912032385369,0.922682801397673,0.908995362774966,0.105257841391183,0.0542446863457211,0.229168656627782,0.868177616093845,0.759280948347541,0.0423351005047956,0.797490529427788,0.796464202379601,0.709844118288646,0.353209129693849,0.286723711964162,0.660419399932086,0.346716682140091
"temp.Mar",0.814473829912662,0.936335744267592,0.308139452298347,0.664251731204593,NA,0.101934813952546,0.337733675769571,0.192519282423893,0.0564109511279929,0.285336884606522,0.506899510399708,0.26260271322764,0.344741746659144,0.176757203306164,0.630723616236706,0.565296722470913,0.301673478608202,0.450122833476499,0.112521359982301,0.32693441616921,0.676888443874656,0.144724302944002,0.94613146154215,0.940604653284193,0.28931660848558,0.596193746862836,0.716495469784542,0.704496984363698,0.506790847178067,0.356027874032603,0.727758226873514,0.945751422281614,0.606703566247541,0.91485621077572,0.293203103693781,0.21562898325398,0.432834914443794,0.408297328273957,0.156655017434063,0.803062057655893,0.0249827182764661,0.120607870358147,0.0451515521038786,0.687761759513355,0.361904215372412,0.832022032676039,0.649221038032151,0.167259541128771,0.544239144434876,0.0975099757912146,0.936335744267592
"temp.Apr",0.703713647021843,0.705938407704069,0.803861514380595,0.76972014113698,0.101934813952546,NA,0.983998229105101,0.994281628499068,0.75771148727872,0.694279976922296,0.884263060993272,0.167943579636052,0.123832040538896,0.0313281537968497,0.733512862774255,0.549652204020449,0.639056515108645,0.450528280524043,0.626718272036979,0.911351634640364,0.285290678601669,0.58674221483474,0.896857255646335,0.11814762055891,0.921503971703817,0.880210070447808,0.857919215896241,0.973043438065661,0.876202847432542,0.868562094000049,0.832092838584988,0.84494474467028,0.840416742930908,0.861354476051261,0.917015872044929,0.559497567672965,0.043424561390248,0.0403812298468531,0.988107609911988,0.675258832963789,0.194276862976869,0.175913801052661,0.638938073931705,0.94453378474148,0.899914157701831,0.645177918394781,0.965816581318019,0.540932139171373,0.17953951503037,0.00535213922459432,0.705938407704069
"temp.May",0.727031324670328,0.493135921791818,0.313976882217673,0.779428685743364,0.337733675769571,0.983998229105101,NA,0.437871271200712,0.268744256193395,0.00716436151395738,0.373452064145424,0.341041877496118,0.379017858625281,0.909892795509984,0.609591888877188,0.489914158997075,0.820589085611994,0.0758222800504686,0.753762566385811,0.162566187908614,0.30966410424755,0.66494365023061,0.213118181441128,0.263024745810239,0.942307743860878,0.119785405797616,0.502201114112119,0.654190599726772,0.342064735638831,0.0876791400536852,0.437018322965126,0.917317978213786,0.773352480227703,0.935516858766582,0.0174522777029815,0.209306608618582,0.632010188697171,0.662707464860511,0.180488691810742,0.794861420876565,0.850627669085072,0.240396260925066,0.0634879314437709,0.890199427461938,0.842981709131787,0.467910323581544,0.519923930658781,0.642665576362293,0.332261446363266,0.877805493259851,0.493135921791818
"temp.Jun",0.478117871505115,0.946156240404854,0.0279286460095765,0.0809835502660279,0.192519282423893,0.994281628499068,0.437871271200712,NA,0.0531149982501047,0.545132623545526,0.0369751724288827,0.896422730726583,0.556769061801235,0.718021094383456,0.128942833452684,0.965994580198422,0.587571920313528,0.0464147167788791,0.276393101782876,0.687126744394611,0.0287768338254744,0.250596126350012,0.702088430735238,0.238407852861068,0.462669011713118,0.547557620691109,0.73054396737567,0.829126846693348,0.26994804678049,0.813650064971249,0.670516104647811,0.493952011684639,0.24843446569652,0.41198904573362,0.583512000732366,0.218584114375202,0.505589314788301,0.534026342356483,0.00105450751683733,0.594520521701198,0.305237313597316,0.575905469036895,0.22489185615414,0.067059051218437,0.553535564356517,0.409324980171133,0.728667113151303,0.91295120734722,0.356285141833882,0.996310280444745,0.946156240404854
"temp.Jul",0.959262355194634,0.568078067923146,0.138733587166875,0.468906498225457,0.0564109511279929,0.75771148727872,0.268744256193395,0.0531149982501047,NA,0.434030229421816,0.241797651308374,0.28750714187781,0.984209036032809,0.464481456221854,0.290665056440942,0.510693739015306,0.863873640342718,0.0691425925327203,0.469731674953617,0.0861838662615071,0.119603580059641,0.0177261423731876,0.522774615995549,0.260353704936165,0.116205672954194,0.783250431329927,0.518509352529687,0.952269920878959,0.937948597972183,0.290168673504308,0.50284299606232,0.63300574472163,0.955479587118481,0.841565476349116,0.278685622420166,0.627650981619013,0.685268383413598,0.694996118856889,0.03775288997601,0.947545044916667,0.321912793686778,0.150596594319702,0.194993422587586,0.21354370347064,0.0390412849669322,0.310502264496845,0.507110300781158,0.259631803627212,0.990672584652277,0.435666599943028,0.568078067923146
"temp.Aug",0.823923361407865,0.775699662377112,0.199241041350366,0.880335118620946,0.285336884606522,0.694279976922296,0.00716436151395738,0.545132623545526,0.434030229421816,NA,0.64806657136262,0.378491421349788,0.395407053699155,0.924795550440947,0.261271586268479,0.625084438404341,0.705991956462196,0.136178319530705,0.493475677352425,0.530352562287089,0.391840204956395,0.564963448380569,0.0515159943838162,0.759785502539358,0.78245739238106,0.0534751030099427,0.280052829107591,0.21295782061668,0.443213174998834,0.0492923429568428,0.282147778622484,0.723826471270367,0.89927924055076,0.727665395951165,0.00735780880486314,0.215982112384463,0.719272843997338,0.687394686902956,0.204438942000107,0.69886844102317,0.46155303157883,0.120658893183517,0.0752543990159158,0.975125068304393,0.996259222775917,0.129375056207224,0.362509821095967,0.981901319874468,0.304573086345514,0.984594600388058,0.775699662377112
