jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.3231	-12.558564
1999	-10.2929832	-9.8707248	-16.8630336	-14.637456	42.659028	81.2876904	54.9747	44.4858912	47.0862072	18.6835464	-8.250444	-14.3776944
2000	-13.9196232	-14.788008	-15.4008864	1.314792	75.0466512	76.9862664	48.9432672	32.8627584	44.5660056	26.0102232	-12.4680816	-10.6821288
2001	-9.8266608	-7.8732216	-14.1670944	-8.4455784	73.487196	73.0394712	49.5583488	45.4654728	56.8972944	24.1024464	-9.7992288	-10.2723768
2002	-9.0846144	-5.6493288	-13.9058208	-2.5437888	54.4348728	62.513856	30.5848872	45.0414648	41.4104184	11.0449872	-17.3605896	-12.994884
2003	-13.4681616	-10.4258664	-13.4252208	-6.944616	54.98064	80.0774856	29.1951216	43.0947864	47.9961936	16.321608	-12.6541224	-13.2037344
2004	-11.3557896	-9.6927408	-15.6414672	-6.3391896	81.9767952	62.5707504	37.7847288	50.383296	38.6580168	10.5788376	-19.1956608	-17.4891744
2005	-16.7691384	-14.063112	-17.6162472	-12.2644368	51.794208	69.712812	34.6289472	50.9407056	46.740132	22.3871472	-14.1291216	-15.0041592
2006	-15.0818976	-11.539044	-16.2267192	-0.0499824000000003	70.2613224	81.78084	34.2427176	59.7486672	45.0566064	9.0139392	-22.1551416	-15.8731488
2007	-16.4503656	-12.9525696	-13.8997728	-8.7500088	79.8870816	67.1233608	47.0803968	34.8187032	47.63934	18.1262232	-9.7209504	-13.0499856
2008	-10.5085728	-8.6737176	-15.64056	-18.093888	45.256644	87.588972	49.5567504	36.8181072	61.3420344	24.298488	-9.985788	-9.5687784
2009	-11.0037312	-10.4252832	-16.8400944	-6.1764552	62.9562888	82.3681656	53.1681624	60.3429264	36.4442976	2.2166352	-14.424696	-11.0828736
2010	-9.6882696	-9.9714888	-15.2974656	-13.6831896	31.016628	77.869296	57.4650936	49.8965832	35.2286064	27.144396	-11.564964	-13.8910896
2011	-12.4749504	-11.3617296	-16.766568	-19.6724592	31.67424	107.1267768	57.4508376	52.5237264	51.914412	21.1332456	-18.1302192	-16.006896
2012	-12.5537472	-12.160152	-16.8632712	10.5878232	74.4662592	61.3192248	29.9056536	51.6950208	50.310936	9.5348664	-13.8032856	-10.0882368
2013	-9.7795944	-8.9980416	-13.6907712	-19.4829624	62.0470584	79.1525952	38.1178872	42.8164704	25.1678448	14.1341112	-16.7176008	-14.1000912
