Tree,species,dbh,pithoffsetA,pithoffsetB,dist_to_gridpoint,alivedead,firstyear,lastyear,age
111,fir,16.2,1,1,4.1,a,1919,2012,94
112,fir,22.7,0,0,3.01,a,1855,2012,158
113,pine,20.3,0,0,2.91,a,1939,2012,74
114,pine,24.5,0,7,2.9,a,1911,2012,102
121,pine,19.7,2,2,0.92,a,1941,2012,72
122,pine,21.3,0,NA,1.15,a,1936,2012,77
123,spruce,11.9,3,3,3.76,a,1944,2012,69
124,fir,15.1,1,1,2.55,a,1931,2012,82
131,pine,23.4,5,5,1.27,a,1933,2012,80
132,fir,9.3,2,2,1.53,a,1941,2012,72
133,pine,12.8,1,NA,2.11,a,1938,2012,75
134,pine,13.9,0,0,3.12,a,1929,2012,84
141,spruce,7.5,0,0,1.59,a,1913,2012,100
142,spruce,9.6,0,0,1.53,a,NA,NA,NA
143,spruce,9.8,9,9,1.15,d,1935,2011,77
144,spruce,7.3,0,0,1.41,a,1936,2012,77
151,spruce,13.2,2,2,1.61,a,1917,2012,96
152,pine,7.8,2,2,1.86,a,1947,2012,66
153,pine,18.9,10,6,1.3,a,1938,2012,75
154,fir,12.2,0,0,0.58,a,1934,2012,79
161,pine,11.8,0,0,0.99,a,1929,2012,84
162,fir,12.5,3,3,1.36,a,1921,2012,92
163,pine,22.4,2,2,2.03,a,NA,NA,NA
164,spruce,12.6,3,3,1.22,a,1914,2012,99
211,fir,11,0,0,1,a,1925,2012,88
212,fir,10.2,2,2,0.37,a,NA,NA,NA
213,fir,6.3,0,0,2.3,a,1935,2012,78
214,pine,19.1,1,1,0.94,a,1935,2012,78
221,pine,15.9,1,1,2.81,a,1951,2012,62
222,fir,10.7,0,0,0.91,a,1920,2012,93
223,pine,15.5,0,0,1.35,a,1932,2012,81
224,fir,6.5,0,0,3.22,a,1933,2012,80
231,spruce,16.4,1,1,1.15,a,1917,2012,96
232,fir,6.7,1,1,0.37,a,1938,2012,75
233,fir,6.2,0,0,1.9,a,1948,2012,65
234,fir,11.3,4,4,0.5,a,NA,NA,NA
241,spruce,10.2,5,5,1.05,a,1931,2012,82
242,fir,24.7,3,1,0.86,a,1793,2012,220
243,pine,11.1,1,1,1.95,a,1933,2012,80
244,spruce,8.2,0,0,1.03,a,NA,NA,NA
251,pine,11.7,0,0,0.71,a,1931,2012,82
252,pine,14.8,1,1,0.64,a,NA,NA,NA
253,pine,18.5,2,2,0.53,a,1933,2012,80
254,pine,11.2,0,0,0.95,a,1938,2012,75
261,pine,15.9,2,2,0.11,a,1933,2012,80
262,spruce,14.7,1,1,1.75,a,1921,2012,92
263,fir,13.9,0,0,0.93,a,1913,2012,100
264,fir,16.5,NA,NA,1.04,a,1914,2012,99
311,fir,12.1,8,NA,1.05,a,1917,2012,96
312,fir,15.6,9,9,1.06,a,1872,2012,141
313,fir,13.3,0,0,2.81,a,1907,2012,106
314,fir,17.8,12,12,3.11,a,1908,2012,105
321,fir,14.6,0,0,1.05,a,1918,2012,95
322,fir,16.3,1,1,1.12,a,1919,2012,94
323,spruce,7.1,0,0,1.06,a,1930,2012,83
324,fir,26,NA,NA,1.64,a,1820,2012,193
331,pine,20.5,4,1,2.7,a,1938,2012,75
332,pine,12.8,0,0,0.89,a,1944,2012,69
333,pine,8.4,0,NA,0.83,a,1937,2012,76
334,pine,19.3,0,0,1.77,a,1929,2012,84
341,pine,21.8,11,0,1.73,a,1931,2012,82
342,fir,14.4,NA,NA,1.37,d,NA,NA,NA
343,fir,8.7,0,0,2.55,a,1922,2012,91
344,fir,24.3,NA,5,2.58,a,1927,2012,86
351,spruce,9.9,0,0,0.57,a,1924,2012,89
352,pine,19.2,1,1,0.3,a,1930,2012,83
353,fir,22.5,12,9,1.07,d,1807,2005,199
354,spruce,9.2,5,5,1.31,a,1927,2012,86
361,fir,9.2,0,0,1.42,a,1951,2012,62
362,pine,24.7,NA,NA,3.85,a,NA,NA,NA
363,spruce,17.1,1,1,2.49,a,1929,2012,84
364,spruce,20.3,3,1,2.6,a,1915,2012,98
411,fir,14.3,2,2,2.17,a,1921,2012,92
412,fir,15.3,5,5,3.55,a,1920,2012,93
413,fir,17.4,0,0,1.14,a,1915,2012,98
414,fir,12.2,0,0,0.5,a,1921,2012,92
421,fir,18.7,8,8,0.68,a,1916,2012,97
422,pine,30.2,0,0,0.75,a,1927,2012,86
423,fir,8,0,0,1.34,a,NA,NA,NA
424,fir,9.4,2,2,3.23,a,1926,2012,87
431,fir,10,2,2,2.1,a,1931,2012,82
432,fir,7.5,0,0,1.34,a,1923,2012,90
433,fir,8,5,5,1.11,a,1932,2012,81
434,fir,6.3,0,0,2.11,a,1929,2012,84
441,spruce,23.5,15,14,1.95,a,1811,2012,202
442,pine,20.2,0,0,1.11,a,1940,2012,73
443,pine,12.3,0,0,0.9,a,1937,2012,76
444,spruce,12.7,0,0,1.76,a,1919,2012,94
451,spruce,7.6,0,0,3.04,a,1923,2012,90
452,spruce,16.8,3,NA,1.14,a,1808,2012,205
453,pine,14.1,0,0,2.86,d,NA,NA,NA
454,spruce,9.9,0,0,2.62,a,1924,2012,89
461,pine,22.1,1,NA,1.03,a,1932,2012,81
462,spruce,26.7,0,0,1.79,a,1821,2012,192
463,fir,8.5,0,0,1.62,a,1918,2012,95
464,fir,15,0,0,3.6,a,1916,2012,97
511,spruce,11.1,0,0,0.5,a,1899,2012,114
512,spruce,15.6,0,1,0.24,a,1913,2012,100
513,pine,7.8,0,0,0.25,a,1930,2012,83
514,fir,13.1,6,6,1.46,a,1918,2012,95
521,spruce,32.9,20,NA,1.47,a,1859,2012,154
522,fir,5.8,0,0,4.7,a,1934,2012,79
523,pine,20.6,0,2,2.79,a,1925,2012,88
524,spruce,18.3,2,15,2.2,a,1807,2012,206
531,fir,6.1,0,0,1.24,a,1945,2012,68
532,spruce,28.7,2,NA,2.24,a,1795,2012,218
533,spruce,6.4,2,2,1.32,a,NA,NA,NA
534,pine,18.1,7,14,0.93,a,1934,2012,79
541,fir,8.3,1,1,1.02,a,1917,2012,96
542,fir,7.9,0,NA,1.16,a,NA,NA,NA
543,fir,8.4,3,3,1.46,a,1925,2012,88
544,fir,11.5,0,0,1.56,a,1922,2012,91
551,fir,8.2,0,0,1.7,a,1917,2012,96
552,pine,14.7,0,0,1.13,a,1928,2012,85
553,fir,11.3,0,0,0.86,a,1917,2012,96
554,fir,17.2,0,0,1.2,a,1916,2012,97
561,fir,14.5,0,0,0.91,a,NA,NA,NA
562,fir,6.2,0,0,0.25,a,1917,2012,96
563,fir,6.3,0,0,0.49,a,1918,2012,95
564,fir,8.3,0,0,3.1,a,NA,NA,NA
611,fir,8.9,0,0,1.38,d,1920,1985,66
612,fir,7.7,0,0,1.28,a,NA,NA,NA
613,pine,27.2,3,0,1.73,a,1926,2012,87
614,spruce,17.5,0,0,2.4,a,1920,2012,93
621,spruce,25.1,5,22,1.26,a,1800,2012,213
622,fir,16.7,2,2,2.52,a,1915,2012,98
623,fir,16.3,1,1,2.45,a,1919,2012,94
624,spruce,23.2,3,2,1.77,a,NA,NA,NA
631,pine,12.5,NA,NA,1.22,d,NA,NA,NA
632,spruce,16.5,0,0,1.03,a,1830,2012,183
633,pine,25.1,6,6,2.76,a,1974,2012,39
634,pine,16.2,0,2,1.57,a,1934,2012,79
641,fir,9.7,2,2,0.87,a,1926,2012,87
642,fir,9.2,1,1,1.89,a,1934,2012,79
643,spruce,12.5,0,0,1.04,a,1922,2012,91
644,spruce,10.7,1,1,0.17,a,NA,NA,NA
651,fir,8.2,0,0,0.39,a,1928,2012,85
652,fir,19.2,0,2,0.92,a,1917,2012,96
653,spruce,10.8,0,0,1.87,a,1922,2012,91
654,fir,10.7,0,0,1.79,a,1915,2012,98
661,fir,12.3,NA,NA,0.77,a,1928,2012,85
662,fir,8.3,0,0,1.33,a,1909,2012,104
663,fir,12.6,5,5,1.56,a,1916,2012,97
664,fir,14.8,2,2,1.8,a,1918,2012,95
111,pine,12.2,1,1,1.9,a,1932,2012,81
112,spruce,11,1,1,1.61,a,1932,2012,81
113,pine,28.9,16,11,3.4,a,1805,2012,208
114,pine,13,5,5,1.33,a,1797,2012,216
121,fir,13.9,0,0,0.78,a,1916,2012,97
122,spruce,13.5,0,0,0.38,a,1826,2012,187
123,fir,12.2,1,1,0.95,a,1928,2012,85
124,spruce,13.8,1,1,0.5,a,NA,NA,NA
131,fir,9.7,1,1,0.25,a,1915,2012,98
132,fir,14.1,0,0,1.22,a,1915,2012,98
133,fir,12.5,6,6,1.49,a,1917,2012,96
134,fir,6,0,0,0.41,a,1925,2012,88
141,pine,15.2,8,8,3.49,a,1794,2012,219
142,pine,30.4,NA,4,1.76,a,1836,2012,177
143,fir,14.3,NA,0,3.88,a,1891,2012,122
144,fir,8.3,3,3,0.61,a,1929,2012,84
151,fir,19.4,4,1,2.23,a,1915,2012,98
152,fir,12.4,0,0,1.08,a,1905,2012,108
153,spruce,26,NA,4,1.38,a,1803,2012,210
154,fir,14.2,1,0,2.11,a,1911,2012,102
161,pine,28.2,8,30,1.1,a,1771,2012,242
162,spruce,20.1,12,20,2.57,a,1843,2012,170
163,spruce,9,0,0,4.15,a,1922,2012,91
164,fir,9.1,10,10,0.72,a,1887,2012,126
211,pine,13.8,0,0,1.05,a,1931,2012,82
212,pine,22.7,1,2,2.06,a,1778,2012,235
213,pine,14.5,4,4,1.22,a,1932,2012,81
214,fir,8,0,0,1.67,a,1933,2012,80
221,spruce,22.9,14,NA,1.05,a,1813,2012,200
222,fir,7.1,1,1,1.34,a,1936,2012,77
223,fir,13,5,5,1.12,a,1813,2012,200
224,fir,7.7,0,0,0.49,d,NA,NA,NA
231,spruce,17.4,0,0,0.28,a,1843,2012,170
232,fir,15.1,0,0,1.84,a,1889,2012,124
233,pine,25,0,8,0.99,a,1908,2012,105
234,spruce,31.3,22,4,1.94,a,1808,2012,205
241,fir,17.5,2,2,1.42,d,NA,NA,NA
242,fir,19,NA,NA,2.72,d,NA,NA,NA
243,pine,9.6,NA,NA,2.17,a,NA,NA,NA
244,fir,14.4,NA,NA,2.91,a,NA,NA,NA
251,pine,19.2,3,3,0.22,a,1766,2012,247
252,spruce,16.2,2,2,1.69,a,1924,2012,89
253,fir,14.7,NA,NA,0.37,a,NA,NA,NA
254,fir,9.5,2,2,1.77,a,1923,2012,90
261,fir,13.4,0,0,1.47,a,1796,2012,217
262,spruce,7.6,0,0,2.42,a,1920,2012,93
263,spruce,6,2,2,4.28,a,1930,2012,83
264,spruce,8.7,0,0,1.3,a,1925,2012,88
311,spruce,17.6,0,0,1.1,a,1817,2012,196
312,pine,27.6,6,7,0.6,a,1790,2012,223
313,fir,6.7,1,1,0.7,a,1862,2012,151
314,pine,14.8,0,0,1.8,a,NA,NA,NA
321,spruce,36.8,10,0,0.5,a,1814,2012,199
322,spruce,16.1,0,0,3.8,a,NA,NA,NA
323,pine,17,0,0,2.1,a,1929,2012,84
324,fir,12.3,5,5,1.4,a,1922,2012,91
331,fir,10.5,1,1,2.06,a,1932,2012,81
332,fir,11.2,0,0,3.42,d,1918,2000,83
333,fir,13.5,9,9,2.4,a,NA,NA,NA
334,fir,6.8,0,0,3,a,1935,2012,78
341,pine,14.5,NA,NA,0.58,a,NA,NA,NA
342,fir,17.5,2,2,3.21,a,1917,2012,96
343,pine,8.9,5,5,2,a,1939,2012,74
344,fir,13.8,1,1,1.84,d,1922,2009,88
351,fir,11.7,1,1,0.59,a,1920,2012,93
352,fir,15.4,0,0,0.13,a,1913,2012,100
353,spruce,8.7,0,0,0.61,a,1827,2012,186
354,pine,26.5,NA,NA,0.57,a,1925,2012,88
361,pine,29.3,NA,NA,1.1,a,1855,2012,158
362,fir,21,3,11,3.35,a,1832,2012,181
363,fir,19.6,15,15,1.48,d,NA,NA,NA
364,fir,20.1,8,8,0.69,a,1861,2012,152
411,fir,20.5,1,1,0.83,d,NA,NA,NA
412,spruce,21.2,11,11,2.37,a,1915,2012,98
413,fir,12.3,0,0,2.9,a,1921,2012,92
414,fir,14.3,2,2,2.32,a,1917,2012,96
421,fir,7.1,0,0,2.88,a,1928,2012,85
422,spruce,29,13,15,1.78,a,1811,2012,202
423,spruce,17.7,9,9,1.05,a,1820,2012,193
424,pine,36.8,8,15,1,a,1807,2012,206
431,spruce,28.7,9,1,3.38,a,1763,2012,250
432,fir,25,0,5,2.3,a,1911,2012,102
433,fir,12.5,5,5,1.88,a,1926,2012,87
434,fir,8.7,15,15,1.92,a,1921,2012,92
441,pine,36.1,10,5,2.27,a,1763,2012,250
442,spruce,41.4,7,7,1.92,d,1928,2012,85
443,pine,10,1,1,3.46,a,1947,2012,66
444,fir,8.7,8,8,0.78,a,1939,2012,74
451,fir,18.7,6,2,0.74,a,1909,2012,104
452,fir,18.7,7,7,4.47,a,1827,2012,186
453,fir,12.7,1,1,2.49,a,1921,2012,92
454,fir,15.6,0,0,2.59,a,1925,2012,88
461,pine,27.6,NA,8,2.26,a,1831,2012,182
462,spruce,6.4,4,4,1.77,a,1928,2012,85
463,fir,9.5,0,0,2.55,a,1932,2012,81
464,pine,25.1,NA,8,1.05,a,1810,2012,203
511,fir,10.1,3,3,1.25,a,1931,2012,82
512,spruce,24.5,0,5,4.02,a,1843,2012,170
513,spruce,20.3,8,8,0.56,a,1874,2012,139
514,fir,16.2,0,0,2.02,a,1912,2012,101
521,fir,15.3,8,8,2.1,a,1907,2012,106
522,pine,30.7,3,3,0.8,a,1816,2012,197
523,fir,13.5,25,25,5.44,a,1887,2012,126
524,spruce,20.1,0,0,0.42,a,1826,2012,187
531,fir,6.3,0,0,3.02,a,1924,2012,89
532,fir,21.7,3,3,1.5,a,1812,2012,201
533,fir,14.7,0,0,1.38,a,NA,NA,NA
534,spruce,22.3,7,7,1.73,a,1849,2012,164
541,pine,7.1,0,0,1.29,a,1937,2012,76
542,fir,6.5,6,6,3.3,a,1911,2012,102
543,fir,11.5,5,5,1.65,a,1930,2012,83
544,pine,30.5,8,20,1.84,a,1786,2012,227
551,pine,32,25,9,2.09,a,1784,2012,229
552,spruce,10.2,0,0,2.31,a,1923,2012,90
553,pine,41,NA,4,2.78,a,1808,2012,205
554,fir,19.8,NA,7,4.49,a,1906,2012,107
561,pine,34.1,3,5,1.79,a,1751,2012,262
562,pine,30.7,NA,NA,3.2,a,NA,NA,NA
563,pine,7.9,15,15,3.64,a,NA,NA,NA
564,fir,19.5,2,2,1.25,a,1833,2012,180
611,fir,8.2,20,20,1,a,1864,2012,149
612,fir,17.3,2,2,3.32,a,1831,2012,182
613,spruce,14.8,0,0,1.08,d,NA,NA,NA
614,fir,14,8,8,0.92,a,1831,2012,182
621,spruce,6.2,0,0,0.31,a,NA,NA,NA
622,fir,10.3,0,0,0.5,a,1909,2012,104
623,fir,11.3,4,4,2.17,a,1924,2012,89
624,spruce,15.1,30,30,1.9,a,1857,2012,156
631,spruce,20.9,15,15,0.66,a,1886,2012,127
632,pine,30.8,0,0,0.64,a,1788,2012,225
633,fir,22.9,0,18,2.48,a,1836,2012,177
634,pine,25.6,7,7,0.45,d,1774,1904,131
641,fir,9.5,3,3,1.82,a,1921,2012,92
642,fir,12,5,5,2.81,a,NA,NA,NA
643,pine,9.4,1,1,2.74,a,1926,2012,87
644,fir,19.1,1,1,0.92,a,1910,2012,103
651,fir,16.2,14,14,2.35,d,1804,1958,155
652,fir,8.5,0,0,0.74,a,1867,2012,146
653,fir,13.6,8,8,1.47,a,NA,NA,NA
654,spruce,20.3,0,0,1.98,a,1946,2012,67
661,fir,20.8,1,1,1.09,a,1873,2012,140
662,fir,7.9,1,1,0.28,a,1928,2012,85
663,fir,9.5,0,0,5.07,a,1920,2012,93
664,fir,9.8,8,8,4.18,a,1950,2012,63
